BMTCB,CLPRB,CLTCB,CLTCV,CLCCB,CLCCV,CLACB,CLACV,CLEIB,CLEIV,CLICB,CLICV,CLRCB,ELEXV,ELIMB,ELIMV,ESACB,ESACV,ESCCB,ESCCV,ESICB,ESICV,ESRCV,ESTCB,ESTCV,GDPRV,GETCB,GECCB,GEICB,GERCB,HYCCB,HYICB,HYTCB,LOTCB,NGACB,NGACV,NGCCB,NGCCV,NGICB,NGICV,NGMPB,NGRCB,NGRCV,NGTCB,NGTCV,NNACB,NNCCB,NNICB,PAACB,PAACV,PACCB,PACCV,PAICB,PAICV,PARCB,PATCB,PATCV,SOEGB,SOTCB,TPOPP,WWCCB,WWTCB,WWTCV,WYTCB,NUETB,NUETV,TETCB
4012.94849,132.48678,209.57935,0.0,0.0,0.0,3.53784,0.0,0.0,0.0,206.04151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11267.26335,0.0,5052.58172,0.0,0.0,20941.51508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32168.50488,51787.44559,16466.85,0.0,26171.01,0.0,14159.51105,0.0,0.0,28367.28,0.0,140274.585,0.0,16466.85,26171.01,14159.51105,100224.3675,0.0,1786.79579,0.0,17498.64185,0.0,1696.46922,121479.9737,0.0,0.0,0.0,1321.0,52.44696999999999,4012.94849,0.0,0.0,0.0,0.0,283128.7124
3836.9629,0.0,210.66932000000003,0.0,0.0,0.0,0.94946,0.0,0.0,0.0,209.71986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10054.14722,0.0,6699.79638,0.0,0.0,22730.64164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31245.74745,55238.62467999999,16083.9,0.0,14483.79,0.0,39919.42629,0.0,0.0,25850.16,0.0,159092.955,0.0,16083.9,14483.79,39919.42629,105160.0523,0.0,1836.21456,0.0,17533.18089,0.0,2208.27649,126909.3727,0.0,0.0,0.0,1407.0,51.6121,3836.9629,0.0,0.0,0.0,0.0,304970.1483
3672.12878,0.0,6290.98311,0.0,0.0,0.0,0.90157,0.0,6064.7102399999985,0.0,225.3713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9945.02123,0.0,9119.13298,0.0,0.0,24915.34865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30861.24516,59850.27219,15547.77,0.0,12949.92,0.0,49739.9648,0.0,243.57,22933.53,0.0,163460.655,0.0,15547.77,12949.92,49739.9648,114192.6512,0.0,2139.61125,0.0,16059.2188,0.0,2902.48492,135914.9555,0.0,0.0,0.0,1471.0,50.59694,3672.12878,0.0,0.0,0.0,0.0,325085.2416
4027.53031,0.0,8432.01905,0.0,0.0,0.0,0.59375,0.0,8271.91078,0.0,159.51452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10864.93396,0.0,9441.39638,0.0,0.0,26829.48748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30833.67301,64136.90676000001,15600.345,0.0,14307.945,0.0,54513.06044,0.0,1412.706,25130.718,0.0,169532.724,0.0,15600.345,14307.945,54513.06044,121145.1548,0.0,2222.40306,0.0,17606.947969999994,0.0,2890.47729,144419.0982,0.0,0.0,0.0,1521.0,49.81824,4027.53031,0.0,0.0,0.0,0.0,348480.5723
4089.10173,0.0,9102.72547,0.0,0.0,0.0,0.4163,0.0,8989.69557,0.0,112.6136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11305.27303,0.0,10061.01899,0.0,0.0,28594.57308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30181.71918,67948.99691,18659.85,0.0,24446.575,0.0,48610.0896,0.0,2144.475,30453.675,0.0,174623.0,0.0,18659.85,24446.575,48610.0896,125064.8577,0.0,2560.50635,0.0,16270.09959,0.0,3064.57382,147656.9144,0.0,0.0,0.0,1556.0,50.20989,4089.10173,0.0,0.0,0.0,0.0,369844.6368
3695.21696,0.0,7030.44355,0.0,0.0,0.0,0.30079,0.0,6937.94175,0.0,92.20101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10385.99152,0.0,11363.9492,0.0,0.0,29360.31118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46399.81125,70090.25327,19370.152,0.0,20695.784,0.0,59365.35822,0.0,3289.254000000001,27100.136,0.0,166063.384,0.0,19370.152,20695.784,59365.35822,120076.9842,0.0,2433.20453,0.0,20118.03473,0.0,2990.35646,145912.6723,0.0,0.0,0.0,1584.0,48.81696,3695.21696,0.0,0.0,0.0,0.0,375388.2934
3679.36818,0.0,7372.745140000001,0.0,0.0,0.0,0.13940999999999998,0.0,7325.695979999998,0.0,46.90975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11178.36028,0.0,12239.78912,0.0,0.0,32653.49169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54380.45399,78260.49452000001,21294.04,0.0,19313.124,0.0,62171.17132,0.0,3347.4990000000007,26918.292,0.0,174447.576,0.0,21294.04,19313.124,62171.17132,127402.7946,0.0,2406.13825,0.0,27227.85839,0.0,2218.55629,159353.1301,0.0,0.0,0.0,1614.0,50.16818,3679.36818,0.0,0.0,0.0,0.0,403592.3784
4180.13105,22.08113,7183.65905,0.0,0.0,0.0,0.05283,0.0,7161.55556,0.0,22.05066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12255.75046,0.0,11983.62981,0.0,0.0,34200.99064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52242.53798,81693.23616,25266.06,0.0,24851.775,0.0,49402.155,0.0,1329.045,27025.44,0.0,169085.3661,0.0,25266.06,24851.775,49402.155,134469.0718,0.0,2685.14204,0.0,27644.03048,0.0,3066.70048,167968.5108,0.0,0.0,0.0,1646.0,52.13105,4180.13105,0.0,0.0,0.0,0.0,414506.8362
4147.203729999998,0.0,8137.1679,0.0,0.0,0.0,0.04877,0.0,8114.70867,0.0,22.41046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12880.67873,0.0,12691.06024,0.0,0.0,36635.50382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.82499,59309.14887000001,87405.75687000001,27869.476,0.0,25166.564,0.0,57801.644,0.0,932.979,28708.756,0.0,189964.9013,0.0,27869.476,25166.564,57801.644,155751.7602,0.0,3117.58027,0.0,26322.88805,0.0,3108.79227,188614.2228,0.0,0.0,0.0,1682.0,53.60373000000001,4147.203729999998,0.0,0.0,0.0,0.0,456148.2095
4389.1241,0.0,8381.44702,0.0,0.0,0.0,0.07318999999999999,0.0,8337.76454,0.0,43.60929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14687.83771,0.0,14428.259569999998,0.0,0.0,42469.30048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.1847,63450.93827000001,101310.0424,28939.02,0.0,26363.076,0.0,62909.416,0.0,1203.024,30586.376,0.0,210332.0103,0.0,28939.02,26363.076,62909.416,163969.4763,0.0,3482.03758,0.0,30243.165910000003,0.0,3362.75396,201346.9758,0.0,0.0,0.0,1737.0,54.7241,4389.1241,0.0,0.0,0.0,0.0,498178.656
