BMTCB,CLPRB,CLTCB,CLTCV,CLCCB,CLCCV,CLACB,CLACV,CLEIB,CLEIV,CLICB,CLICV,CLRCB,ELEXV,ELIMB,ELIMV,ESCCB,ESCCV,ESICB,ESICV,ESRCV,ESTCB,ESTCV,GDPRV,GETCB,GECCB,GEICB,GERCB,HYTCB,LOTCB,NGACB,NGACV,NGCCB,NGCCV,NGICB,NGICV,NGMPB,NGRCB,NGRCV,NGTCB,NGTCV,NNACB,NNCCB,NNICB,PAACB,PAACV,PACCB,PACCV,PAICB,PAICV,PARCB,PATCB,PATCV,SOTCB,TPOPP,WWCCB,WWTCB,WWTCV,WYTCB
-0.133207125,-1.721668103,-1.857204763,-1.178966253,2.394390564,-0.85529273,6.813902191,-0.332248573,-1.881528542,-1.17669805,1.56915251,-1.158077086,4.216047224,-0.328476864,-0.371362032,-0.364336387,-1.470851907,-1.242337256,-1.240535511,-1.295424794,-1.236497617,-1.384684918,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-0.740565864,-1.424029258,-1.120812268,-0.508645326,-2.474070005,-1.173588354,1.075432843,-1.3627341,-1.471854684,-2.381480359,-1.143333626,-0.773940776,-1.138666399,-1.120812268,-2.474065287,1.075432822,-1.855781972,-1.033049113,-0.686655886,-0.917533406,-1.736849295,-1.127514737,-0.028140973,-1.998955461,-1.05300927,-0.776637952,-1.387738154,-0.573230683,0.326192118,-0.555060528,-0.35731335
-0.216022959,-1.709786749,-1.86453412,-1.178966253,1.775687174,-0.85529273,1.113355413,-0.332248573,-1.880301064,-1.17669805,0.661233918,-1.158077086,3.335346877,-0.328476864,-0.371362032,-0.364336387,-1.432902103,-1.242337256,-1.185200134,-1.295424794,-1.236497617,-1.342207016,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-0.952356657,-1.386692327,-0.537511048,-0.508645326,-2.269932008,-1.173588354,0.962651413,-1.3627341,-1.507318228,-1.828254077,-1.143333626,-0.442533942,-1.138666399,-0.537511048,-2.26992748,0.962651466,-1.82196801,-1.033049113,-0.612378966,-0.917533406,-1.880509381,-1.127514737,0.510732333,-1.988589185,-1.05300927,-0.776637952,-1.355666046,-0.582286488,0.21996774,-0.555060528,-0.35731335
-0.305456091,-1.682875992,-1.872729814,-1.178966253,1.480203348,-0.85529273,0.544434831,-0.332248573,-1.88178483,-1.17669805,-0.15608689,-1.158077086,2.914734149,-0.328476864,-0.371362032,-0.364336387,-1.394822324,-1.242337256,-1.116837607,-1.295424794,-1.236497617,-1.291630083,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-0.821287575,-1.33736964,-0.55996871,-0.508645326,-1.861329654,-1.173588354,1.872770373,-1.3627341,-1.450100444,-1.571855957,-1.143333626,0.358226016,-1.138666399,-0.55996871,-1.861325507,1.872769831,-1.623015351,-1.033049113,-0.69359415,-0.917533406,-1.773703406,-1.127514737,0.149421005,-1.825182948,-1.05300927,-0.776637952,-1.314847001,-0.597172809,0.105255633,-0.555060528,-0.35731335
-0.34172138,-1.554110554,-1.744640693,-1.178966253,0.749041787,-0.85529273,0.161705452,-0.332248573,-1.746147231,-1.17669805,-0.855708293,-1.158077086,1.777542409,-0.328476864,-0.371362032,-0.364336387,-1.355573537,-1.242337256,-1.077761154,-1.295424794,-1.236497617,-1.244408869,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-1.058995917,-1.287710365,-0.59600824,-0.508645326,-2.195939325,-1.173588354,1.419513217,-1.3627341,-1.435690747,-0.871752395,-1.143333626,0.153953657,-1.138666399,-0.59600824,-2.195934866,1.419512972,-1.521188562,-1.033049113,-0.710241397,-0.917533406,-1.818127325,-1.127514737,0.200347768,-1.756708969,-1.05300927,-0.776637952,-1.28569054,-0.60676122,0.058739677,-0.555060528,-0.35731335
-0.277793588,-1.450123324,-1.595474613,-1.178966253,0.359238246,-0.85529273,0.305128044,-0.332248573,-1.597772403,-1.17669805,-0.543304027,-1.158077086,1.245064687,-0.328476864,-0.371362032,-0.364336387,-1.302832811,-1.242337256,-1.03369778,-1.295424794,-1.236497617,-1.188005342,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-1.45350028,-1.229209866,-0.837713101,-0.508645326,-1.766684865,-1.173588354,0.890482576,-1.3627341,-1.166468634,-1.456823795,-1.143333626,-0.222030441,-1.138666399,-0.837713101,-1.766680807,0.890482676,-1.495399395,-1.033049113,-0.540440164,-0.917533406,-1.389242176,-1.127514737,0.766868467,-1.585986245,-1.05300927,-0.776637952,-1.236124556,-0.608078547,0.140737159,-0.555060528,-0.35731335
-0.472265558,-1.425446667,-1.470351606,-1.178966253,0.006355823,-0.85529273,0.05022447,-0.332248573,-1.467912022,-1.17669805,-1.011038607,-1.158077086,0.711772486,-0.328476864,-0.371362032,-0.364336387,-1.268644179,-1.242337256,-1.378819465,-1.295424794,-1.236497617,-1.319781988,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-1.068489283,-1.373675425,-0.477009274,-0.508645326,-1.749957905,-1.173588354,0.37794101,-1.3627341,-0.942630363,-0.951467297,-1.143333626,-0.291596069,-1.138666399,-0.477009274,-1.749953863,0.377941445,-1.48846108,-1.033049113,-0.749639324,-0.917533406,-1.109123192,-1.127514737,0.1203283,-1.53946473,-1.05300927,-0.776637952,-1.218630679,-0.623982936,-0.108703836,-0.555060528,-0.35731335
-0.514024213,-1.47185503,-1.540080357,-1.178966253,-0.350882503,-0.85529273,-0.057913253,-0.332248573,-1.535272305,-1.17669805,-1.234110707,-1.158077086,0.243347947,-0.328476864,-0.371362032,-0.364336387,-1.200813508,-1.242337256,-1.317152867,-1.295424794,-1.236497617,-1.25853277,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-0.784239768,-1.301636972,-0.745663843,-0.508645326,-1.50207399,-1.173588354,1.075563947,-1.3627341,-0.709660213,0.476552572,-1.143333626,0.36676576,-1.138666399,-0.745663843,-1.502070179,1.075563926,-1.429109523,-1.033049113,-0.859648403,-0.917533406,-1.335208386,-1.127514737,-0.291068041,-1.576429391,-1.05300927,-0.776637952,-1.23320891,-0.631101175,-0.162265901,-0.555060528,-0.35731335
-0.578987983,-1.399957609,-1.471645455,-1.178966253,-0.543644264,-0.85529273,-0.058992052,-0.332248573,-1.466859003,-1.17669805,-1.134147721,-1.158077086,-0.009411557,-0.328476864,-0.371362032,-0.364336387,-1.155174251,-1.242337256,-1.256336881,-1.295424794,-1.236497617,-1.211376041,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-1.158273143,-1.25112718,-0.527342734,-0.508645326,0.801466638,-1.173588354,1.466706397,-1.3627341,-0.443917092,0.851017394,-1.143333626,1.305546412,-1.138666399,-0.527342734,0.801468298,1.466706121,-1.406873052,-1.033049113,-0.802431688,-0.917533406,-1.540844239,-1.127514737,0.131106723,-1.595788589,-1.05300927,-0.776637952,-1.253618432,-0.637434968,-0.245592189,-0.555060528,-0.35731335
-0.596898492,-1.40341031,-1.482914769,-1.178966253,-0.628708554,-0.85529273,-0.080559551,-0.332248573,-1.477746562,-1.17669805,-1.15743347,-1.158077086,-0.136665787,-0.328476864,-0.371362032,-0.364336387,-1.117899084,-1.242337256,-1.176617848,-1.295424794,-1.236497617,-1.153964519,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-1.070124885,-1.187489243,-0.411443661,-0.508645326,1.371179537,-1.173588354,1.507489126,-1.3627341,-0.073926613,0.978698995,-1.143333626,1.474779545,-1.138666399,-0.411443661,1.371180665,1.507488823,-1.147546432,-1.033049113,-0.675538673,-0.917533406,-0.985461207,-1.127514737,0.503332886,-1.219023098,-1.05300927,-0.776637952,-1.271112309,-0.640588615,-0.268565243,-0.555060528,-0.35731335
-0.679854953,-1.29759518,-1.413125743,-1.178966253,-0.766322591,-0.85529273,-0.142242765,-0.332248573,-1.406410981,-1.17669805,-1.295929272,-1.158077086,-0.309916763,-0.328476864,-0.371362032,-0.364336387,-1.045126243,-1.242337256,-1.103923315,-1.295424794,-1.236497617,-1.081376226,-1.255785878,-1.115469661,-0.642092323,-0.786605033,-0.608258235,-0.71633687,-0.826429692,-1.105935596,-0.240018961,-0.508645326,1.019241741,-1.173588354,1.023652164,-1.3627341,-0.17362334,0.026681628,-1.143333626,1.197679813,-1.138666399,-0.240018961,1.019243198,1.023652177,-1.087117529,-1.033049113,-0.493242739,-0.917533406,-1.00791847,-1.127514737,1.21111854,-1.140721693,-1.05300927,-0.776637952,-1.221546325,-0.650683008,-0.374969998,-0.555060528,-0.35731335
