BMTCB,CLPRB,CLTCB,CLTCV,CLCCB,CLCCV,CLACB,CLACV,CLEIB,CLEIV,CLICB,CLICV,CLRCB,ELEXV,ELIMB,ELIMV,ESACB,ESACV,ESCCB,ESCCV,ESICB,ESICV,ESRCV,ESTCB,ESTCV,GDPRV,GETCB,GECCB,GERCB,HYICB,HYTCB,LOTCB,NGACB,NGACV,NGCCB,NGCCV,NGICB,NGICV,NGMPB,NGRCB,NGRCV,NGTCB,NGTCV,NNACB,NNCCB,NNICB,PAACB,PAACV,PACCB,PACCV,PAICB,PAICV,PARCB,PATCB,PATCV,SOEGB,SOTCB,TPOPP,WWCCB,WWTCB,WWTCV,WYTCB,NUETB,NUETV
-1.354643573,-1.381255173,-1.299259247,-1.242478575,-0.199692146,-0.492237323,6.291440347,-0.373118913,-1.277630691,-1.202733121,-1.400375425,-1.534640496,1.65551031,-0.615368999,-0.275591422,-0.335071632,-0.243670081,-0.508558593,-1.44690859,-1.103666338,-1.945633527,-1.226581945,-1.085182013,-1.649034254,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,-0.222594418,-1.713774752,-1.983061775,-0.501871678,-2.347606082,-1.185235211,-0.230721233,-1.114465462,-1.190293496,-1.579462239,-1.322062735,-2.161102879,-1.103655947,-1.983061775,-2.347618197,-0.230596145,-1.677945641,-0.975437568,-0.733747357,-1.065980888,-1.750210332,-0.897536216,0.504314908,-1.753306448,-0.949917079,-0.497216008,-0.824930621,-1.421923709,-0.827703854,-1.620761479,-1.040020513,-0.348890044,-0.799457556,-0.795249979
-1.334913757,-1.380781361,-1.309786219,-1.242478575,-0.310719709,-0.492237323,0.904268215,-0.373118913,-1.277630691,-1.202733121,-1.688013244,-1.534640496,0.744777717,-0.615368999,-0.022521351,-0.335071632,-0.274059021,-0.508558593,-1.425090241,-1.103666338,-1.922159837,-1.226581945,-1.085182013,-1.63165915,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,0.047100348,-1.701291115,-1.319619156,-0.501871678,-2.283488948,-1.185235211,-0.244940037,-1.114465462,-1.091926903,-1.786359064,-1.322062735,-2.126635834,-1.103655947,-1.319619156,-2.2834981,-0.244815356,-1.668659298,-0.975437568,-0.860818318,-1.065980888,-1.72681162,-0.897536216,0.489398384,-1.7385554,-0.949917079,-0.497216008,-0.824930621,-1.378536919,-0.84339156,-1.592873875,-1.040020513,-0.348890044,-0.799457556,-0.795249979
-1.321564379,-1.383339945,-1.306087396,-1.242478575,-0.30387877,-0.492237323,0.831537945,-0.373118913,-1.277630691,-1.202733121,-1.581750141,-1.534640496,0.800893861,-0.615368999,-0.086621178,-0.335071632,-0.321428764,-0.508558593,-1.396895155,-1.103666338,-1.854990308,-1.226581945,-1.085182013,-1.576712263,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,-0.939326333,-1.644539641,-1.420161817,-0.501871678,-2.1473323,-1.185235211,-0.190508951,-1.114465462,-0.930151517,-0.644878861,-1.322062735,-1.86032,-1.103655947,-1.420161817,-2.147335164,-0.190382712,-1.632133816,-0.975437568,-0.808668682,-1.065980888,-1.654982051,-0.897536216,0.518826103,-1.680820292,-0.949917079,-0.497216008,-0.824930621,-1.326959766,-0.858728698,-1.57400486,-1.040020513,-0.348890044,-0.799457556,-0.795249979
-1.374494372,-1.377369916,-1.308278178,-1.242478575,-0.344273108,-0.492237323,0.667661795,-0.373118913,-1.277630691,-1.202733121,-1.642657637,-1.534640496,0.422919885,-0.615368999,-0.362976861,-0.335071632,-0.334239435,-0.508558593,-1.358754921,-1.103666338,-1.790293011,-1.226581945,-1.085182013,-1.52470787,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,-1.661244619,-1.588761239,-1.135855313,-0.501871678,-1.968909537,-1.185235211,-0.174541622,-1.114465462,-0.75697326,-0.561353348,-1.322062735,-1.683155562,-1.103655947,-1.135855313,-1.96890416,-0.174414926,-1.600125775,-0.975437568,-0.758788009,-1.065980888,-1.547017729,-0.897536216,0.598222408,-1.605148749,-0.949917079,-0.497216008,-0.824930621,-1.303495481,-0.874380233,-1.648820091,-1.040020513,-0.348890044,-0.799457556,-0.795249979
-1.326251562,-1.372110604,-1.297302956,-1.242478575,-0.367642873,-0.492237323,1.049822969,-0.373118913,-1.277630691,-1.202733121,-1.326770417,-1.534640496,0.238958481,-0.615368999,-0.443084186,-0.335071632,-0.368473968,-0.508558593,-1.331779883,-1.103666338,-1.719432351,-1.226581945,-1.085182013,-1.483721721,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,-1.716080169,-1.546458006,-1.109567543,-0.501871678,-1.819493419,-1.185235211,-0.346170633,-1.114465462,-0.312158586,-0.78501642,-1.322062735,-1.691371959,-1.103655947,-1.109567543,-1.81948114,-0.34604885,-1.556573076,-0.975437568,-0.639985534,-1.065980888,-1.446425107,-0.897536216,1.2075854,-1.521933591,-0.949917079,-0.497216008,-0.824930621,-1.278924391,-0.889308358,-1.580630077,-1.040020513,-0.348890044,-0.799457556,-0.795249979
-1.256650918,-1.366424861,-1.292714864,-1.242478575,-0.381772614,-0.492237323,0.99337695,-0.373118913,-1.277630691,-1.202733121,-1.194019748,-1.534640496,0.095112443,-0.615368999,-0.445654191,-0.335071632,-0.40751924,-0.508558593,-1.296728266,-1.103666338,-1.631319015,-1.226581945,-1.085182013,-1.430635402,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,-1.081142469,-1.484485034,-1.012528486,-0.501871678,-1.829950711,-1.185235211,0.001327301,-1.114465462,-0.158289875,-1.154012964,-1.322062735,-1.397094768,-1.103655947,-1.012528486,-1.829938915,0.001459031,-1.509521122,-0.975437568,-0.627366397,-1.065980888,-1.43673816,-0.897536216,1.298525263,-1.493849424,-0.949917079,-0.497216008,-0.824930621,-1.255017384,-0.905036983,-1.482251295,-1.040020513,-0.348890044,-0.799457556,-0.795249979
-1.169156544,-1.373911089,-1.294796658,-1.242478575,-0.366467192,-0.492237323,0.793683509,-0.373118913,-1.277630691,-1.202733121,-1.254106034,-1.534640496,0.210760592,-0.615368999,-0.44621219,-0.335071632,-0.563700328,-0.508558593,-1.262405933,-1.103666338,-1.50697045,-1.226581945,-1.085182013,-1.366740045,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,-0.99199779,-1.410298718,-0.985003673,-0.501871678,-1.623623096,-1.185235211,0.400935673,-1.114465462,0.281835456,-0.590542222,-1.322062735,-0.931962655,-1.103655947,-0.985003673,-1.623601771,0.401078841,-1.460796447,-0.975437568,-0.39745617,-1.065980888,-1.373364258,-0.897536216,0.98415871,-1.43550812,-0.949917079,-0.497216008,-0.824930621,-1.229782211,-0.914991022,-1.35858017,-1.040020513,-0.348890044,-0.799457556,-0.795249979
-1.165236855,-1.378649208,-1.30151455,-1.242478575,-0.39019039,-0.492237323,0.416942114,-0.373118913,-1.277630691,-1.202733121,-1.445682056,-1.534640496,0.031505048,-0.615368999,-0.44800422,-0.335071632,-0.563700328,-0.508558593,-1.218059059,-1.103666338,-1.41825796,-1.226581945,-1.085182013,-1.303213957,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,-1.4439696,-1.341770329,-0.676565697,-0.501871678,-0.349444106,-1.185235211,0.692694666,-1.114465462,0.608022248,-0.391056039,-1.322062735,-0.442765498,-1.103655947,-0.676565697,-0.349363929,0.692846186,-1.38813891,-0.975437568,-0.457554379,-1.065980888,-1.349316815,-0.897536216,0.910216623,-1.390651946,-0.949917079,-0.497216008,-0.824930621,-1.206096565,-0.923678219,-1.353039787,-1.040020513,-0.348890044,-0.799457556,-0.795249979
-0.987876028,-1.372110604,-1.299224001,-1.242478575,-0.438883277,-0.492237323,0.388222558,-0.373118913,-1.277630691,-1.202733121,-1.377797533,-1.534640496,-0.350360532,-0.615368999,-0.384076094,-0.335071632,-0.563700328,-0.508558593,-1.176681668,-1.103666338,-1.288251268,-1.226581945,-1.085182013,-1.223220205,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,0.183071583,-1.253443463,0.102224014,-0.501871678,-0.376405722,-1.185235211,1.006334889,-1.114465462,1.033273485,-0.043141758,-1.322062735,-0.028871159,-1.103655947,0.102224014,-0.37632679,1.006495387,-1.260916737,-0.975437568,0.002668612,-1.065980888,-1.270534373,-0.897536216,1.378971877,-1.27601613,-0.949917079,-0.497216008,-0.824930621,-1.157397107,-0.933753833,-1.102344663,-1.040020513,-0.348890044,-0.799457556,-0.795249979
-0.922855653,-1.374100614,-1.298998527,-1.242478575,-0.451699348,-0.492237323,0.180007305,-0.373118913,-1.277630691,-1.202733121,-1.370412276,-1.534640496,-0.443336081,-0.615368999,-0.37447212,-0.335071632,-0.563700328,-0.508558593,-1.11274999,-1.103666338,-1.144529593,-1.226581945,-1.085182013,-1.109208728,-1.126717277,-1.050982699,-0.629069155,-0.613609263,-0.633361166,-0.25264478,0.075678393,-1.126372628,0.180446439,-0.501871678,-0.341564659,-1.185235211,1.159047958,-1.114465462,1.529657056,0.296188113,-1.322062735,0.363301752,-1.103655947,0.180446439,-0.341484118,1.159212827,-1.163282984,-0.975437568,0.208685357,-1.065980888,-1.112033138,-0.897536216,2.042263946,-1.133735819,-0.949917079,-0.497216008,-0.824930621,-1.107369482,-0.944192664,-1.010439977,-1.040020513,-0.348890044,-0.799457556,-0.795249979
