MSN,Year,Data
TEACB,1960,116694.7553
TEACB,1961,121244.9018
TEACB,1962,129741.3228
TEACB,1963,136746.0935
TEACB,1964,143725.124
TEACB,1965,139447.437
TEACB,1966,148696.97400000002
TEACB,1967,159735.1847
TEACB,1968,183621.285
TEACB,1969,192908.5695
TEACB,1970,194128.5071
TEACB,1971,204288.3791
TEACB,1972,225161.7965
TEACB,1973,243866.6606
TEACB,1974,233251.7574
TEACB,1975,230132.5052
TEACB,1976,235045.6592
TEACB,1977,253252.1901
TEACB,1978,267014.7717
TEACB,1979,274215.543
TEACB,1980,265917.6033
TEACB,1981,269161.8864
TEACB,1982,261414.5536
TEACB,1983,263359.1166
TEACB,1984,279837.1203
TEACB,1985,293425.0276
TEACB,1986,299695.4682
TEACB,1987,312314.6492
TEACB,1988,322828.0071
TEACB,1989,322208.9651
TEACB,1990,325551.3076
TEACB,1991,332395.1636
TEACB,1992,336927.3399
TEACB,1993,354096.9966
TEACB,1994,367010.8247
TEACB,1995,373358.8247
TEACB,1996,394405.1271
TEACB,1997,395050.4749
TEACB,1998,425151.3641
TEACB,1999,448499.5523
TEACB,2000,460490.216
TEACB,2001,475781.654
TEACB,2002,485849.6985
TEACB,2003,497783.2715
TEACB,2004,511520.0498
TEACB,2005,534497.8817
TEACB,2006,551814.9966
TEACB,2007,547346.3298
TEACB,2008,519773.5212
TEACB,2009,493623.1949
TECCB,1960,67140.96273
TECCB,1961,50858.74178
TECCB,1962,48974.52925
TECCB,1963,53418.13671
TECCB,1964,65227.17106
TECCB,1965,58357.70235
TECCB,1966,59738.92263
TECCB,1967,69119.15282999999
TECCB,1968,71949.42142
TECCB,1969,79625.34837
TECCB,1970,82034.74648999999
TECCB,1971,92420.07537
TECCB,1972,102004.8192
TECCB,1973,113205.4643
TECCB,1974,120126.3935
TECCB,1975,122308.2232
TECCB,1976,132602.1377
TECCB,1977,138791.3452
TECCB,1978,135112.5745
TECCB,1979,133590.7732
TECCB,1980,138112.6391
TECCB,1981,136413.2016
TECCB,1982,138057.5839
TECCB,1983,138280.7104
TECCB,1984,154865.7085
TECCB,1985,169343.7312
TECCB,1986,174349.8987
TECCB,1987,191706.7241
TECCB,1988,197457.5154
TECCB,1989,212385.5381
TECCB,1990,215545.6382
TECCB,1991,210530.3264
TECCB,1992,215106.2646
TECCB,1993,218895.5763
TECCB,1994,230656.6332
TECCB,1995,240055.4457
TECCB,1996,252436.6538
TECCB,1997,264827.2886
TECCB,1998,282241.3634
TECCB,1999,293982.4568
TECCB,2000,311260.2785
TECCB,2001,309311.7517
TECCB,2002,315794.4447
TECCB,2003,315230.0153
TECCB,2004,323077.9909
TECCB,2005,335423.7356
TECCB,2006,346070.4541
TECCB,2007,366727.6044
TECCB,2008,367050.8881
TECCB,2009,352103.5235
TEEIB,1960,87694.71261
TEEIB,1961,94246.28047
TEEIB,1962,99810.33829
TEEIB,1963,99652.526
TEEIB,1964,92265.87419
TEEIB,1965,93066.37729
TEEIB,1966,106451.0719
TEEIB,1967,101931.2556
TEEIB,1968,117937.0257
TEEIB,1969,133350.8227
TEEIB,1970,135279.2003
TEEIB,1971,153005.3048
TEEIB,1972,169687.43399999998
TEEIB,1973,191124.3593
TEEIB,1974,221293.0147
TEEIB,1975,229860.6028
TEEIB,1976,276144.6874
TEEIB,1977,313873.9612
TEEIB,1978,315996.075
TEEIB,1979,370481.3544
TEEIB,1980,396294.6597
TEEIB,1981,429388.2652
TEEIB,1982,413848.8578
TEEIB,1983,441907.4914
TEEIB,1984,482779.615
TEEIB,1985,507506.6483
TEEIB,1986,539383.0682
TEEIB,1987,545654.9837
TEEIB,1988,647659.8471
TEEIB,1989,558718.9908
TEEIB,1990,651525.6035
TEEIB,1991,692118.9165
TEEIB,1992,726110.1682
TEEIB,1993,698655.0269
TEEIB,1994,734002.8523
TEEIB,1995,723170.3308
TEEIB,1996,751259.9628
TEEIB,1997,814931.4423
TEEIB,1998,846644.2402
TEEIB,1999,863646.1829
TEEIB,2000,918884.8912
TEEIB,2001,924513.9213
TEEIB,2002,939330.3455
TEEIB,2003,933968.7333
TEEIB,2004,1018496.929
TEEIB,2005,969663.5845
TEEIB,2006,987669.9655
TEEIB,2007,1056326.76
TEEIB,2008,1116384.368
TEEIB,2009,1057668.043
TEICB,1960,50409.18846000001
TEICB,1961,81589.56164
TEICB,1962,97960.76465
TEICB,1963,105546.5352
TEICB,1964,100320.5202
TEICB,1965,119134.473
TEICB,1966,132001.1828
