Year,Data
1960,116694.7553
1961,121244.9018
1962,129741.3228
1963,136746.0935
1964,143725.124
1965,139447.437
1966,148696.97400000002
1967,159735.1847
1968,183621.285
1969,192908.5695
1970,194128.5071
1971,204288.3791
1972,225161.7965
1973,243866.6606
1974,233251.7574
1975,230132.5052
1976,235045.6592
1977,253252.1901
1978,267014.7717
1979,274215.543
1980,265917.6033
1981,269161.8864
1982,261414.5536
1983,263359.1166
1984,279837.1203
1985,293425.0276
1986,299695.4682
1987,312314.6492
1988,322828.0071
1989,322208.9651
1990,325551.3076
1991,332395.1636
1992,336927.3399
1993,354096.9966
1994,367010.8247
1995,373358.8247
1996,394405.1271
1997,395050.4749
1998,425151.3641
1999,448499.5523
2000,460490.216
2001,475781.654
2002,485849.6985
2003,497783.2715
2004,511520.0498
2005,534497.8817
2006,551814.9966
2007,547346.3298
2008,519773.5212
2009,493623.1949
