Year,Data
1960,87694.71261
1961,94246.28047
1962,99810.33829
1963,99652.526
1964,92265.87419
1965,93066.37729
1966,106451.0719
1967,101931.2556
1968,117937.0257
1969,133350.8227
1970,135279.2003
1971,153005.3048
1972,169687.43399999998
1973,191124.3593
1974,221293.0147
1975,229860.6028
1976,276144.6874
1977,313873.9612
1978,315996.075
1979,370481.3544
1980,396294.6597
1981,429388.2652
1982,413848.8578
1983,441907.4914
1984,482779.615
1985,507506.6483
1986,539383.0682
1987,545654.9837
1988,647659.8471
1989,558718.9908
1990,651525.6035
1991,692118.9165
1992,726110.1682
1993,698655.0269
1994,734002.8523
1995,723170.3308
1996,751259.9628
1997,814931.4423
1998,846644.2402
1999,863646.1829
2000,918884.8912
2001,924513.9213
2002,939330.3455
2003,933968.7333
2004,1018496.929
2005,969663.5845
2006,987669.9655
2007,1056326.76
2008,1116384.368
2009,1057668.043
