Year,Data
1960,39277.51611
1961,26425.76388
1962,25085.14942
1963,27445.100260000007
1964,38362.56427
1965,33563.79701
1966,32947.79071
1967,39844.79855
1968,41218.42673
1969,44587.67539
1970,43320.13597
1971,48783.54873
1972,53134.66603
1973,61094.15259
1974,63860.22361
1975,63687.66486
1976,70339.16023
1977,71877.32949
1978,67293.60945
1979,62870.08984
1980,63342.1049
1981,62402.32743
1982,63121.25239
1983,61695.28474
1984,67960.56638999999
1985,73264.11816
1986,74169.55392
1987,83531.54718
1988,84714.01379
1989,88103.37695
1990,89826.85752
1991,87821.95819
1992,88919.17399
1993,89861.98737999998
1994,95078.58055
1995,97092.98995
1996,101656.7943
1997,107218.217
1998,115510.7841
1999,117998.8598
2000,123653.1783
2001,122608.895
2002,125544.0115
2003,124926.6005
2004,127158.4443
2005,131623.1105
2006,136098.1344
2007,143693.5209
2008,146779.7127
2009,141116.305
