Year,Data
1960,37454.61923
1961,36752.73453
1962,34353.20936
1963,37175.95243000001
1964,43395.32988000001
1965,40280.86292
1966,41020.99058
1967,42771.35085
1968,45684.91312
1969,50191.93316
1970,52989.93452
1971,58085.71494
1972,62964.71344
1973,68065.84775
1974,65833.28598
1975,71064.1648
1976,74525.86115
1977,75565.46209
1978,69399.69477999999
1979,71640.71218
1980,74658.82937
1981,74131.81149
1982,78339.86923
1983,82261.24339
1984,83523.06906000001
1985,89720.71793
1986,85661.52878
1987,87609.63803
1988,90069.09324
1989,94475.82373
1990,98230.78181
1991,100690.945
1992,100581.464
1993,101201.4382
1994,107579.9231
1995,104813.0815
1996,110466.0678
1997,118330.0664
1998,126271.2508
1999,127732.9773
2000,137184.1106
2001,138709.1235
2002,138861.0858
2003,143196.9552
2004,149440.4025
2005,154868.2491
2006,160935.3995
2007,171442.3568
2008,170575.8813
2009,164988.9006
