MSN,Year,Data
TEACB,1960,1224484.508
TEACB,1961,1292748.835
TEACB,1962,1316840.694
TEACB,1963,1354293.259
TEACB,1964,1421269.725
TEACB,1965,1491528.523
TEACB,1966,1592767.7869999998
TEACB,1967,1654401.6519999998
TEACB,1968,1779327.251
TEACB,1969,1829879.997
TEACB,1970,1832688.305
TEACB,1971,1909118.082
TEACB,1972,1932051.017
TEACB,1973,1987098.907
TEACB,1974,1899594.416
TEACB,1975,1955852.254
TEACB,1976,2065484.61
TEACB,1977,2206924.591
TEACB,1978,2372998.734
TEACB,1979,2354345.67
TEACB,1980,2363749.739
TEACB,1981,2345618.119
TEACB,1982,2230679.052
TEACB,1983,2253696.3
TEACB,1984,2373539.184
TEACB,1985,2364206.375
TEACB,1986,2447310.477
TEACB,1987,2578318.262
TEACB,1988,2730005.235
TEACB,1989,2816953.512
TEACB,1990,2834433.7630000007
TEACB,1991,2691307.504
TEACB,1992,2681120.971
TEACB,1993,2641734.719
TEACB,1994,2757750.542
TEACB,1995,2820810.213
TEACB,1996,2868005.519
TEACB,1997,2802790.349
TEACB,1998,2811081.394
TEACB,1999,2873058.841
TEACB,2000,3021544.739
TEACB,2001,2970936.958
TEACB,2002,3134488.075
TEACB,2003,3274443.67
TEACB,2004,3201788.482
TEACB,2005,3290706.49
TEACB,2006,3342783.421
TEACB,2007,3387324.173
TEACB,2008,3220751.395
TEACB,2009,3129539.397
TECCB,1960,436105.6422
TECCB,1961,488389.9512
TECCB,1962,514826.2558
TECCB,1963,532909.2865
TECCB,1964,551543.1296
TECCB,1965,577583.9457
TECCB,1966,624040.7954
TECCB,1967,644062.5892
TECCB,1968,689534.7033
TECCB,1969,718264.5077
TECCB,1970,771510.5428
TECCB,1971,830871.1509
TECCB,1972,854372.9131
TECCB,1973,878102.3208
TECCB,1974,844943.8596
TECCB,1975,971538.6072
TECCB,1976,979744.5442
TECCB,1977,995873.7238
TECCB,1978,1005773.746
TECCB,1979,1051580.317
TECCB,1980,1085300.13
TECCB,1981,1132070.24
TECCB,1982,1085584.066
TECCB,1983,1004807.539
TECCB,1984,1069984.684
TECCB,1985,1079471.879
TECCB,1986,1072751.335
TECCB,1987,1134976.427
TECCB,1988,1200876.4840000002
TECCB,1989,1275405.999
TECCB,1990,1342105.398
TECCB,1991,1314487.095
TECCB,1992,1305979.704
TECCB,1993,1255996.42
TECCB,1994,1233673.591
TECCB,1995,1277682.612
TECCB,1996,1265125.986
TECCB,1997,1314733.41
TECCB,1998,1433841.646
TECCB,1999,1351765.905
TECCB,2000,1384791.501
TECCB,2001,1459895.742
TECCB,2002,1468061.718
TECCB,2003,1462917.896
TECCB,2004,1569272.4019999998
TECCB,2005,1544469.184
TECCB,2006,1581181.07
TECCB,2007,1611141.937
TECCB,2008,1634332.562
TECCB,2009,1578660.295
TEEIB,1960,672153.5658
TEEIB,1961,720023.19
TEEIB,1962,759369.0141
TEEIB,1963,827009.6521
TEEIB,1964,901743.7583
TEEIB,1965,958337.6077
TEEIB,1966,1039614.246
TEEIB,1967,1114372.795
TEEIB,1968,1155760.294
TEEIB,1969,1210838.985
TEEIB,1970,1246965.806
TEEIB,1971,1260657.219
TEEIB,1972,1286937.229
TEEIB,1973,1416001.154
TEEIB,1974,1273250.115
TEEIB,1975,1303984.794
TEEIB,1976,1256881.013
TEEIB,1977,1451496.78
TEEIB,1978,1455182.519
TEEIB,1979,1590282.8380000002
TEEIB,1980,1484998.803
TEEIB,1981,1386526.316
TEEIB,1982,1280664.047
TEEIB,1983,1281327.634
TEEIB,1984,1315768.513
TEEIB,1985,1382083.794
TEEIB,1986,1329261.777
TEEIB,1987,1401204.999
TEEIB,1988,1351184.146
TEEIB,1989,1667030.399
TEEIB,1990,1583547.4230000004
TEEIB,1991,1515870.244
TEEIB,1992,1678251.3369999996
TEEIB,1993,1774003.7240000004
TEEIB,1994,1751899.785
TEEIB,1995,1700904.938
TEEIB,1996,1634801.343
TEEIB,1997,1617037.059
TEEIB,1998,1800883.272
TEEIB,1999,1788178.93
TEEIB,2000,1964323.167
TEEIB,2001,1900558.497
TEEIB,2002,1727345.262
TEEIB,2003,1775372.396
TEEIB,2004,1752098.378
TEEIB,2005,1798398.603
TEEIB,2006,1913977.204
TEEIB,2007,1830900.388
TEEIB,2008,1780097.385
TEEIB,2009,1749620.228
TEICB,1960,1194552.508
TEICB,1961,1210011.008
TEICB,1962,1215917.389
TEICB,1963,1332444.616
TEICB,1964,1462576.093
TEICB,1965,1482778.806
TEICB,1966,1570122.233
TEICB,1967,1622795.634
TEICB,1968,1712378.117
TEICB,1969,1787255.919
TEICB,1970,1864435.855
TEICB,1971,1857639.511
TEICB,1972,1912835.836
TEICB,1973,2014388.781
TEICB,1974,1946510.863
TEICB,1975,1905924.434
TEICB,1976,1956581.745
TEICB,1977,2027050.379
TEICB,1978,1923137.962
TEICB,1979,2062065.583
TEICB,1980,1898056.517
TEICB,1981,1695529.593
TEICB,1982,1552216.501
TEICB,1983,1628757.207
TEICB,1984,1886507.8
TEICB,1985,1877743.664
TEICB,1986,1792564.156
TEICB,1987,1945345.399
TEICB,1988,1882197.396
TEICB,1989,1936041.811
TEICB,1990,1980660.497
TEICB,1991,2003424.784
TEICB,1992,2015601.388
TEICB,1993,1952157.052
TEICB,1994,1978988.004
TEICB,1995,1933849.167
TEICB,1996,1960328.751
TEICB,1997,2092852.096
TEICB,1998,2103459.548
TEICB,1999,2121643.704
TEICB,2000,2129340.298
TEICB,2001,2134130.772
TEICB,2002,1995915.15
TEICB,2003,1983378.308
TEICB,2004,2050606.518
TEICB,2005,1998812.525
TEICB,2006,1945112.656
TEICB,2007,1924811.84
TEICB,2008,1879830.524
TEICB,2009,1769997.27
TERCB,1960,596532.5164
TERCB,1961,619740.0518
TERCB,1962,678541.1551
TERCB,1963,712357.6928
TERCB,1964,793199.6404
TERCB,1965,842239.9675
TERCB,1966,871011.084
TERCB,1967,932509.8783
TERCB,1968,948216.5606
TERCB,1969,1036211.004
TERCB,1970,1046211.531
TERCB,1971,1166815.81
TERCB,1972,1192521.045
TERCB,1973,1189442.791
TERCB,1974,1148332.809
TERCB,1975,1220288.264
TERCB,1976,1202299.232
TERCB,1977,1153748.507
TERCB,1978,1195699.292
TERCB,1979,1289994.298
TERCB,1980,1225645.64
TERCB,1981,1192108.862
TERCB,1982,1231949.133
TERCB,1983,1225272.968
TERCB,1984,1227018.785
TERCB,1985,1303247.074
TERCB,1986,1217001.048
TERCB,1987,1307891.865
TERCB,1988,1358897.726
TERCB,1989,1420136.533
TERCB,1990,1390975.0580000002
TERCB,1991,1379598.0159999998
TERCB,1992,1366836.718
TERCB,1993,1367891.381
TERCB,1994,1386549.1430000002
TERCB,1995,1341681.305
TERCB,1996,1377736.61
TERCB,1997,1369188.736
TERCB,1998,1490852.201
TERCB,1999,1492407.2680000004
TERCB,2000,1452006.758
TERCB,2001,1430228.299
TERCB,2002,1436651.4019999998
TERCB,2003,1487406.09
TERCB,2004,1513849.958
TERCB,2005,1494214.112
TERCB,2006,1536142.623
TERCB,2007,1527330.033
TERCB,2008,1562675.0259999996
TERCB,2009,1527310.983
