MSN,Year,Data
TNACB,1960,1223929.292
TNACB,1961,1292210.955
TNACB,1962,1316300.845
TNACB,1963,1353752.314
TNACB,1964,1420730.926
TNACB,1965,1490988.186
TNACB,1966,1592227.991
TNACB,1967,1653869.052
TNACB,1968,1778794.24
TNACB,1969,1829350.943
TNACB,1970,1832151.779
TNACB,1971,1908583.279
TNACB,1972,1931397.514
TNACB,1973,1985547.027
TNACB,1974,1898319.913
TNACB,1975,1953684.26
TNACB,1976,2063086.357
TNACB,1977,2204999.048
TNACB,1978,2371156.724
TNACB,1979,2352504.627
TNACB,1980,2362089.09
TNACB,1981,2343748.077
TNACB,1982,2228617.249
TNACB,1983,2251694.903
TNACB,1984,2371612.984
TNACB,1985,2362126.679
TNACB,1986,2445278.2180000003
TNACB,1987,2576340.045
TNACB,1988,2727947.433
TNACB,1989,2814787.213
TNACB,1990,2831963.834
TNACB,1991,2688628.3910000003
TNACB,1992,2678135.754
TNACB,1993,2638587.83
TNACB,1994,2754505.7010000004
TNACB,1995,2817550.865
TNACB,1996,2864698.567
TNACB,1997,2799119.606
TNACB,1998,2807078.082
TNACB,1999,2868871.4080000008
TNACB,2000,3016867.9060000004
TNACB,2001,2965948.288
TNACB,2002,3130019.27
TNACB,2003,3268389.6210000007
TNACB,2004,3195032.415
TNACB,2005,3284427.517
TNACB,2006,3336351.782
TNACB,2007,3381118.741000001
TNACB,2008,3214421.148
TNACB,2009,3123477.18
TNCCB,1960,250145.6949
TNCCB,1961,269362.2803
TNCCB,1962,283017.8904
TNCCB,1963,291606.265
TNCCB,1964,311035.4972
TNCCB,1965,333904.6243
TNCCB,1966,356676.0604
TNCCB,1967,369390.8956
TNCCB,1968,389789.9841
TNCCB,1969,410021.1031
TNCCB,1970,436105.3656
TNCCB,1971,479492.5064
TNCCB,1972,466595.5774
TNCCB,1973,478564.1807
TNCCB,1974,465827.0764
TNCCB,1975,498103.308
TNCCB,1976,484152.815
TNCCB,1977,499836.4189
TNCCB,1978,499353.5949
TNCCB,1979,539806.5934
TNCCB,1980,565091.63
TNCCB,1981,590111.8025
TNCCB,1982,549784.0109
TNCCB,1983,499891.1249
TNCCB,1984,514609.3967
TNCCB,1985,504376.5623
TNCCB,1986,500746.9803
TNCCB,1987,547571.5893
TNCCB,1988,590940.3225
TNCCB,1989,614372.2388
TNCCB,1990,650719.6886
TNCCB,1991,645904.2137
TNCCB,1992,628620.7844
TNCCB,1993,587853.881
TNCCB,1994,588620.0684
TNCCB,1995,615064.8765
TNCCB,1996,581938.7337
TNCCB,1997,605813.5267
TNCCB,1998,672083.0695
TNCCB,1999,608909.7282
TNCCB,2000,613867.1798
TNCCB,2001,648068.2638
TNCCB,2002,644111.531
TNCCB,2003,642725.8470000001
TNCCB,2004,676572.7616
TNCCB,2005,672306.4457
TNCCB,2006,691769.8759
TNCCB,2007,705910.7555
