Year,Data
1960,1224484.508
1961,1292748.835
1962,1316840.694
1963,1354293.259
1964,1421269.725
1965,1491528.523
1966,1592767.7869999998
1967,1654401.6519999998
1968,1779327.251
1969,1829879.997
1970,1832688.305
1971,1909118.082
1972,1932051.017
1973,1987098.907
1974,1899594.416
1975,1955852.254
1976,2065484.61
1977,2206924.591
1978,2372998.734
1979,2354345.67
1980,2363749.739
1981,2345618.119
1982,2230679.052
1983,2253696.3
1984,2373539.184
1985,2364206.375
1986,2447310.477
1987,2578318.262
1988,2730005.235
1989,2816953.512
1990,2834433.7630000007
1991,2691307.504
1992,2681120.971
1993,2641734.719
1994,2757750.542
1995,2820810.213
1996,2868005.519
1997,2802790.349
1998,2811081.394
1999,2873058.841
2000,3021544.739
2001,2970936.958
2002,3134488.075
2003,3274443.67
2004,3201788.482
2005,3290706.49
2006,3342783.421
2007,3387324.173
2008,3220751.395
2009,3129539.397
