Year,Data
1960,436105.6422
1961,488389.9512
1962,514826.2558
1963,532909.2865
1964,551543.1296
1965,577583.9457
1966,624040.7954
1967,644062.5892
1968,689534.7033
1969,718264.5077
1970,771510.5428
1971,830871.1509
1972,854372.9131
1973,878102.3208
1974,844943.8596
1975,971538.6072
1976,979744.5442
1977,995873.7238
1978,1005773.746
1979,1051580.317
1980,1085300.13
1981,1132070.24
1982,1085584.066
1983,1004807.539
1984,1069984.684
1985,1079471.879
1986,1072751.335
1987,1134976.427
1988,1200876.4840000002
1989,1275405.999
1990,1342105.398
1991,1314487.095
1992,1305979.704
1993,1255996.42
1994,1233673.591
1995,1277682.612
1996,1265125.986
1997,1314733.41
1998,1433841.646
1999,1351765.905
2000,1384791.501
2001,1459895.742
2002,1468061.718
2003,1462917.896
2004,1569272.4019999998
2005,1544469.184
2006,1581181.07
2007,1611141.937
2008,1634332.562
2009,1578660.295
