Year,Data
1960,672153.5658
1961,720023.19
1962,759369.0141
1963,827009.6521
1964,901743.7583
1965,958337.6077
1966,1039614.246
1967,1114372.795
1968,1155760.294
1969,1210838.985
1970,1246965.806
1971,1260657.219
1972,1286937.229
1973,1416001.154
1974,1273250.115
1975,1303984.794
1976,1256881.013
1977,1451496.78
1978,1455182.519
1979,1590282.8380000002
1980,1484998.803
1981,1386526.316
1982,1280664.047
1983,1281327.634
1984,1315768.513
1985,1382083.794
1986,1329261.777
1987,1401204.999
1988,1351184.146
1989,1667030.399
1990,1583547.4230000004
1991,1515870.244
1992,1678251.3369999996
1993,1774003.7240000004
1994,1751899.785
1995,1700904.938
1996,1634801.343
1997,1617037.059
1998,1800883.272
1999,1788178.93
2000,1964323.167
2001,1900558.497
2002,1727345.262
2003,1775372.396
2004,1752098.378
2005,1798398.603
2006,1913977.204
2007,1830900.388
2008,1780097.385
2009,1749620.228
