Year,Data
1960,1194552.508
1961,1210011.008
1962,1215917.389
1963,1332444.616
1964,1462576.093
1965,1482778.806
1966,1570122.233
1967,1622795.634
1968,1712378.117
1969,1787255.919
1970,1864435.855
1971,1857639.511
1972,1912835.836
1973,2014388.781
1974,1946510.863
1975,1905924.434
1976,1956581.745
1977,2027050.379
1978,1923137.962
1979,2062065.583
1980,1898056.517
1981,1695529.593
1982,1552216.501
1983,1628757.207
1984,1886507.8
1985,1877743.664
1986,1792564.156
1987,1945345.399
1988,1882197.396
1989,1936041.811
1990,1980660.497
1991,2003424.784
1992,2015601.388
1993,1952157.052
1994,1978988.004
1995,1933849.167
1996,1960328.751
1997,2092852.096
1998,2103459.548
1999,2121643.704
2000,2129340.298
2001,2134130.772
2002,1995915.15
2003,1983378.308
2004,2050606.518
2005,1998812.525
2006,1945112.656
2007,1924811.84
2008,1879830.524
2009,1769997.27
