Year,Data
1960,596532.5164
1961,619740.0518
1962,678541.1551
1963,712357.6928
1964,793199.6404
1965,842239.9675
1966,871011.084
1967,932509.8783
1968,948216.5606
1969,1036211.004
1970,1046211.531
1971,1166815.81
1972,1192521.045
1973,1189442.791
1974,1148332.809
1975,1220288.264
1976,1202299.232
1977,1153748.507
1978,1195699.292
1979,1289994.298
1980,1225645.64
1981,1192108.862
1982,1231949.133
1983,1225272.968
1984,1227018.785
1985,1303247.074
1986,1217001.048
1987,1307891.865
1988,1358897.726
1989,1420136.533
1990,1390975.0580000002
1991,1379598.0159999998
1992,1366836.718
1993,1367891.381
1994,1386549.1430000002
1995,1341681.305
1996,1377736.61
1997,1369188.736
1998,1490852.201
1999,1492407.2680000004
2000,1452006.758
2001,1430228.299
2002,1436651.4019999998
2003,1487406.09
2004,1513849.958
2005,1494214.112
2006,1536142.623
2007,1527330.033
2008,1562675.0259999996
2009,1527310.983
