Year,Data
1960,1223929.292
1961,1292210.955
1962,1316300.845
1963,1353752.314
1964,1420730.926
1965,1490988.186
1966,1592227.991
1967,1653869.052
1968,1778794.24
1969,1829350.943
1970,1832151.779
1971,1908583.279
1972,1931397.514
1973,1985547.027
1974,1898319.913
1975,1953684.26
1976,2063086.357
1977,2204999.048
1978,2371156.724
1979,2352504.627
1980,2362089.09
1981,2343748.077
1982,2228617.249
1983,2251694.903
1984,2371612.984
1985,2362126.679
1986,2445278.2180000003
1987,2576340.045
1988,2727947.433
1989,2814787.213
1990,2831963.834
1991,2688628.3910000003
1992,2678135.754
1993,2638587.83
1994,2754505.7010000004
1995,2817550.865
1996,2864698.567
1997,2799119.606
1998,2807078.082
1999,2868871.4080000008
2000,3016867.9060000004
2001,2965948.288
2002,3130019.27
2003,3268389.6210000007
2004,3195032.415
2005,3284427.517
2006,3336351.782
2007,3381118.741000001
2008,3214421.148
2009,3123477.18
