Year,Data
1960,250145.6949
1961,269362.2803
1962,283017.8904
1963,291606.265
1964,311035.4972
1965,333904.6243
1966,356676.0604
1967,369390.8956
1968,389789.9841
1969,410021.1031
1970,436105.3656
1971,479492.5064
1972,466595.5774
1973,478564.1807
1974,465827.0764
1975,498103.308
1976,484152.815
1977,499836.4189
1978,499353.5949
1979,539806.5934
1980,565091.63
1981,590111.8025
1982,549784.0109
1983,499891.1249
1984,514609.3967
1985,504376.5623
1986,500746.9803
1987,547571.5893
1988,590940.3225
1989,614372.2388
1990,650719.6886
1991,645904.2137
1992,628620.7844
1993,587853.881
1994,588620.0684
1995,615064.8765
1996,581938.7337
1997,605813.5267
1998,672083.0695
1999,608909.7282
2000,613867.1798
2001,648068.2638
2002,644111.531
2003,642725.8470000001
2004,676572.7616
2005,672306.4457
2006,691769.8759
2007,705910.7555
2008,721279.1915
2009,709131.8627
