MSN,Year,Data
TEACB,1960,91516.29852
TEACB,1961,101810.6589
TEACB,1962,108763.3341
TEACB,1963,111938.921
TEACB,1964,109121.6739
TEACB,1965,114993.7532
TEACB,1966,112987.6835
TEACB,1967,117205.0919
TEACB,1968,128533.2482
TEACB,1969,133422.2664
TEACB,1970,138461.1187
TEACB,1971,142540.455
TEACB,1972,159267.5486
TEACB,1973,158856.2527
TEACB,1974,160014.1891
TEACB,1975,158078.601
TEACB,1976,163068.3386
TEACB,1977,164186.0098
TEACB,1978,173952.3958
TEACB,1979,173597.5169
TEACB,1980,176347.3345
TEACB,1981,193241.2597
TEACB,1982,174894.4333
TEACB,1983,158760.3475
TEACB,1984,141930.7058
TEACB,1985,163626.201
TEACB,1986,170042.97600000002
TEACB,1987,177779.8252
TEACB,1988,192202.6592
TEACB,1989,205965.8446
TEACB,1990,230413.7187
TEACB,1991,225493.5053
TEACB,1992,211683.7276
TEACB,1993,224220.4055
TEACB,1994,213429.5001
TEACB,1995,195275.7056
TEACB,1996,186730.0769
TEACB,1997,233725.2002
TEACB,1998,231233.6349
TEACB,1999,231002.2113
TEACB,2000,226510.9996
TEACB,2001,230165.0716
TEACB,2002,225776.2022
TEACB,2003,216756.5776
TEACB,2004,226181.2953
TEACB,2005,219691.0463
TEACB,2006,227605.4181
TEACB,2007,219540.1515
TEACB,2008,208004.0544
TEACB,2009,202385.1847
TECCB,1960,23433.48173
TECCB,1961,25821.809230000006
TECCB,1962,29235.98293
TECCB,1963,28114.77252
TECCB,1964,32672.22118
TECCB,1965,33345.48895
TECCB,1966,36711.71698000001
TECCB,1967,52740.78743
TECCB,1968,57717.2414
TECCB,1969,58035.13369
TECCB,1970,64490.20555
TECCB,1971,67765.63984
TECCB,1972,69355.01604
TECCB,1973,64406.19999
TECCB,1974,64652.1064
TECCB,1975,59036.49854
TECCB,1976,73342.25598
TECCB,1977,67149.60278
TECCB,1978,67350.55837
TECCB,1979,68757.2198
TECCB,1980,71773.83232
TECCB,1981,67629.08804
TECCB,1982,68916.5797
TECCB,1983,78383.14063
TECCB,1984,82818.43332000001
TECCB,1985,75359.31547
TECCB,1986,79593.7475
TECCB,1987,82573.04377
TECCB,1988,95541.22286
TECCB,1989,98492.41881
TECCB,1990,95794.20363
TECCB,1991,96048.72215
TECCB,1992,99260.83345
TECCB,1993,101469.3539
TECCB,1994,100223.5405
TECCB,1995,101051.7762
TECCB,1996,106832.3383
TECCB,1997,106639.2045
TECCB,1998,111164.8803
TECCB,1999,113872.359
TECCB,2000,123458.6323
TECCB,2001,124826.7911
TECCB,2002,126193.5707
TECCB,2003,119410.6766
TECCB,2004,121077.4274
TECCB,2005,122712.3541
TECCB,2006,121749.2076
TECCB,2007,125697.2212
TECCB,2008,126975.5235
TECCB,2009,122394.6555
TEEIB,1960,37008.26113
TEEIB,1961,38756.07061
TEEIB,1962,40731.08732
TEEIB,1963,58487.43034
TEEIB,1964,76813.24524
TEEIB,1965,93010.01103
TEEIB,1966,88996.11545
TEEIB,1967,99589.54499
TEEIB,1968,97328.52488
TEEIB,1969,110670.28
TEEIB,1970,159858.983
TEEIB,1971,176250.6066
TEEIB,1972,189187.7226
TEEIB,1973,208635.4861
TEEIB,1974,218381.9983
TEEIB,1975,211486.5498
TEEIB,1976,216174.8719
TEEIB,1977,232287.2568
TEEIB,1978,213088.5225
TEEIB,1979,219137.6131
TEEIB,1980,263075.9226
TEEIB,1981,252230.8235
TEEIB,1982,271011.657
TEEIB,1983,294058.6915
TEEIB,1984,283516.9707
TEEIB,1985,296775.8975
TEEIB,1986,262720.1912
TEEIB,1987,280661.3943
TEEIB,1988,288160.8602
TEEIB,1989,309924.1847
TEEIB,1990,303735.9389
TEEIB,1991,264929.4528
TEEIB,1992,292451.8528
TEEIB,1993,300591.6196
TEEIB,1994,312329.4045
TEEIB,1995,309106.4079
TEEIB,1996,315047.1959
TEEIB,1997,329943.0151
TEEIB,1998,336689.1003
TEEIB,1999,342203.4135
TEEIB,2000,352700.4098
TEEIB,2001,346407.7637
TEEIB,2002,322919.1661
TEEIB,2003,345631.6104
TEEIB,2004,345880.1009
TEEIB,2005,367307.7363
TEEIB,2006,385086.265
TEEIB,2007,373402.9768
TEEIB,2008,372787.5139
TEEIB,2009,395143.6816
TEICB,1960,170743.0278
TEICB,1961,166280.4478
TEICB,1962,190998.4069
TEICB,1963,179465.4782
TEICB,1964,173247.3013
TEICB,1965,156510.0414
TEICB,1966,172057.1721
TEICB,1967,180367.1983
TEICB,1968,190307.3567
TEICB,1969,179333.0748
TEICB,1970,193844.6769
TEICB,1971,194681.4783
TEICB,1972,203950.1679
TEICB,1973,196871.8917
TEICB,1974,191937.265
TEICB,1975,180973.4753
TEICB,1976,200611.526
TEICB,1977,179353.3394
TEICB,1978,170431.4697
TEICB,1979,169087.5293
TEICB,1980,165181.3267
TEICB,1981,150425.5174
TEICB,1982,155408.2554
TEICB,1983,166351.8118
TEICB,1984,179011.1922
TEICB,1985,154450.9811
TEICB,1986,135297.8367
TEICB,1987,152880.9933
TEICB,1988,149551.2424
TEICB,1989,156055.2587
TEICB,1990,193723.647
TEICB,1991,190842.3655
TEICB,1992,196409.6743
TEICB,1993,196752.7566
TEICB,1994,199147.2234
TEICB,1995,206972.5237
TEICB,1996,233083.7372
TEICB,1997,220560.4691
TEICB,1998,211184.4099
TEICB,1999,209070.0901
TEICB,2000,225925.1591
TEICB,2001,206231.9525
TEICB,2002,201565.3513
TEICB,2003,216386.2003
TEICB,2004,227483.859
TEICB,2005,224531.1026
TEICB,2006,225221.126
TEICB,2007,250534.066
TEICB,2008,241954.1898
TEICB,2009,227361.0232
TERCB,1960,43327.46783
TERCB,1961,46788.54189
TERCB,1962,47679.46788
TERCB,1963,51539.05606
TERCB,1964,51480.46151
TERCB,1965,48989.18802
TERCB,1966,54788.26815
TERCB,1967,57476.75379
TERCB,1968,59816.41709
TERCB,1969,58425.96287999999
TERCB,1970,61974.26046000001
TERCB,1971,64605.96900000001
TERCB,1972,69265.95219
TERCB,1973,57772.66389
TERCB,1974,60014.37181
TERCB,1975,61483.70119
TERCB,1976,72026.35184
TERCB,1977,62768.6369
TERCB,1978,63631.40485
TERCB,1979,69358.56517999999
TERCB,1980,67553.30395
TERCB,1981,61563.57397000001
TERCB,1982,65937.23999
TERCB,1983,69103.00544
TERCB,1984,71607.3895
TERCB,1985,72480.23306
TERCB,1986,70299.07396000001
TERCB,1987,72603.44234
TERCB,1988,73439.47376000001
TERCB,1989,75112.6018
TERCB,1990,79505.35149
TERCB,1991,80611.68617999999
TERCB,1992,82893.86533
TERCB,1993,83163.01237000001
TERCB,1994,82381.77515
TERCB,1995,81929.45317000001
TERCB,1996,89820.84606
TERCB,1997,95378.16553
TERCB,1998,95969.57831
TERCB,1999,97803.21518
TERCB,2000,100905.2515
TERCB,2001,102995.7259
TERCB,2002,101942.4124
TERCB,2003,101234.0688
TERCB,2004,105781.8505
TERCB,2005,113916.3351
TERCB,2006,111448.8431
TERCB,2007,118508.0772
TERCB,2008,119160.0862
TERCB,2009,117954.0516
