MSN,Year,Data
TNACB,1960,91516.29852
TNACB,1961,101810.6589
TNACB,1962,108763.3341
TNACB,1963,111938.921
TNACB,1964,109121.6739
TNACB,1965,114993.7532
TNACB,1966,112987.6835
TNACB,1967,117205.0919
TNACB,1968,128533.2482
TNACB,1969,133422.2664
TNACB,1970,138461.1187
TNACB,1971,142540.455
TNACB,1972,159267.5486
TNACB,1973,158856.2527
TNACB,1974,160014.1891
TNACB,1975,158078.601
TNACB,1976,163068.3386
TNACB,1977,164186.0098
TNACB,1978,173952.3958
TNACB,1979,173597.5169
TNACB,1980,176347.3345
TNACB,1981,193241.2597
TNACB,1982,174894.4333
TNACB,1983,158760.3475
TNACB,1984,141930.7058
TNACB,1985,163626.201
TNACB,1986,170042.97600000002
TNACB,1987,177779.8252
TNACB,1988,192202.6592
TNACB,1989,205965.8446
TNACB,1990,230413.7187
TNACB,1991,225493.5053
TNACB,1992,211683.7276
TNACB,1993,224220.4055
TNACB,1994,213429.5001
TNACB,1995,195275.7056
TNACB,1996,186730.0769
TNACB,1997,233725.2002
TNACB,1998,231233.6349
TNACB,1999,231002.2113
TNACB,2000,226510.9996
TNACB,2001,230165.0716
TNACB,2002,225776.2022
TNACB,2003,216756.5776
TNACB,2004,226181.2953
TNACB,2005,219691.0463
TNACB,2006,227605.4181
TNACB,2007,219540.1515
TNACB,2008,208004.0544
TNACB,2009,202385.1847
TNCCB,1960,15310.55051
TNCCB,1961,17026.07583
TNCCB,1962,19734.7483
TNCCB,1963,17831.86995
TNCCB,1964,21345.17489
TNCCB,1965,21246.33584
TNCCB,1966,23130.74194
TNCCB,1967,38244.01404
TNCCB,1968,42453.05567
TNCCB,1969,41241.86996
TNCCB,1970,46197.28008
TNCCB,1971,47688.91756
TNCCB,1972,47431.44446
TNCCB,1973,40720.08957
TNCCB,1974,40085.63454
TNCCB,1975,36582.62073
TNCCB,1976,48946.59742
TNCCB,1977,41518.11528
TNCCB,1978,41273.96799
TNCCB,1979,42180.96853
TNCCB,1980,44068.89856
TNCCB,1981,41267.07872
TNCCB,1982,40730.06729
TNCCB,1983,50540.77904
TNCCB,1984,46983.63683
TNCCB,1985,38911.66006
TNCCB,1986,42430.70431
TNCCB,1987,43521.59081
TNCCB,1988,55279.43633
TNCCB,1989,53600.25849
TNCCB,1990,50054.68902
TNCCB,1991,50447.28924
TNCCB,1992,52756.23775
TNCCB,1993,53399.40771
TNCCB,1994,49896.84453
TNCCB,1995,49902.89319
TNCCB,1996,53443.91867
TNCCB,1997,54110.95558
TNCCB,1998,54682.16283
TNCCB,1999,56203.27864
TNCCB,2000,58858.04186000001
TNCCB,2001,60908.40361
TNCCB,2002,60767.19342
TNCCB,2003,59057.12275
TNCCB,2004,59248.50114
TNCCB,2005,60309.99356
TNCCB,2006,58640.70621
TNCCB,2007,60330.95488
TNCCB,2008,62504.40321
TNCCB,2009,59683.91996
TNICB,1960,157680.1034
TNICB,1961,152618.4117
TNICB,1962,176485.9266
TNICB,1963,164449.8228
TNICB,1964,157678.5334
TNICB,1965,145925.8615
TNICB,1966,160524.0379
TNICB,1967,167981.3915
TNICB,1968,176768.8101
TNICB,1969,164732.1527
TNICB,1970,178067.0817
TNICB,1971,177757.2228
TNICB,1972,186238.4788
TNICB,1973,179208.0523
TNICB,1974,175024.6897
TNICB,1975,164932.7392
TNICB,1976,182923.971
TNICB,1977,159927.2364
TNICB,1978,148577.0396
TNICB,1979,145288.6307
TNICB,1980,141041.9688
TNICB,1981,124758.7987
TNICB,1982,131735.0472
TNICB,1983,144063.00699999998
TNICB,1984,152590.098
TNICB,1985,122326.2756
TNICB,1986,105428.5422
TNICB,1987,123769.4708
TNICB,1988,119090.115
TNICB,1989,122910.0544
TNICB,1990,159175.3404
TNICB,1991,155537.4575
TNICB,1992,160873.6879
TNICB,1993,159571.2159
TNICB,1994,159585.8931
TNICB,1995,163451.7196
TNICB,1996,187431.2248
TNICB,1997,173040.6995
TNICB,1998,163621.5517
TNICB,1999,162862.2521
TNICB,2000,183540.535
TNICB,2001,166378.5498
TNICB,2002,161372.3797
TNICB,2003,172604.6425
TNICB,2004,182664.8649
TNICB,2005,177317.3271
TNICB,2006,175182.6766
TNICB,2007,199681.8562
TNICB,2008,192067.524
TNICB,2009,181343.4543
TNRCB,1960,35970.20959
TNRCB,1961,39078.17524
TNRCB,1962,39378.36616000001
TNRCB,1963,42361.46736
TNRCB,1964,41354.00084
TNRCB,1965,40937.84792
TNRCB,1966,46032.3611
TNRCB,1967,48290.97061
TNRCB,1968,49781.06016
TNRCB,1969,47432.58481
TNRCB,1970,49799.97833
TNRCB,1971,51200.27362
TNRCB,1972,54765.59193
TNRCB,1973,41937.02545
TNRCB,1974,43153.70925
TNRCB,1975,45469.69546
TNRCB,1976,55268.27436
TNRCB,1977,45200.23302
TNRCB,1978,45048.94232
TNRCB,1979,49835.64937
TNRCB,1980,47446.73516
TNRCB,1981,42744.65605
TNRCB,1982,46424.61829
TNRCB,1983,48488.45647
TNRCB,1984,47959.78895
TNRCB,1985,48267.21566
TNRCB,1986,46235.27299
TNRCB,1987,47636.04963
TNRCB,1988,47801.48332
TNRCB,1989,47837.42545
TNRCB,1990,51590.92621000001
TNRCB,1991,52150.64553
TNRCB,1992,53661.23406
TNRCB,1993,53175.62565
TNRCB,1994,51249.016
TNRCB,1995,50166.05011
TNRCB,1996,56446.31208
TNRCB,1997,60800.02593
TNRCB,1998,60276.30824
TNRCB,1999,61741.28936
TNRCB,2000,62805.92339
TNRCB,2001,65201.57889
TNRCB,2002,62336.36347999999
TNRCB,2003,60679.89815
TNRCB,2004,63494.49717
TNRCB,2005,70402.36799
TNRCB,2006,67369.42792999999
TNRCB,2007,71761.97239
TNRCB,2008,72577.32054
TNRCB,2009,71257.41917000001
TNTXB,1960,300477.162
TNTXB,1961,310533.3217
TNTXB,1962,344362.3752
TNTXB,1963,336582.0811
TNTXB,1964,329499.3831
TNTXB,1965,323103.7984
TNTXB,1966,342674.8245
TNTXB,1967,371721.4681
TNTXB,1968,397536.1741
TNTXB,1969,386828.8739
TNTXB,1970,412525.4588
TNTXB,1971,419186.869
TNTXB,1972,447703.0638
TNTXB,1973,420721.42
TNTXB,1974,418278.2225
TNTXB,1975,405063.6565
TNTXB,1976,450207.1814
TNTXB,1977,410831.5944
TNTXB,1978,408852.3456
TNTXB,1979,410902.7655
TNTXB,1980,408904.937
TNTXB,1981,402011.7932
TNTXB,1982,393784.1661
TNTXB,1983,401852.5899
TNTXB,1984,389464.2297
TNTXB,1985,373131.3523
TNTXB,1986,364137.4955
TNTXB,1987,392706.9365
TNTXB,1988,414373.6938
TNTXB,1989,430313.583
TNTXB,1990,491234.6743
TNTXB,1991,483628.8976
TNTXB,1992,478974.8874
TNTXB,1993,490366.6547
TNTXB,1994,474161.2538
TNTXB,1995,458796.3684
TNTXB,1996,484051.5325
TNTXB,1997,521676.8812
TNTXB,1998,509813.6577
TNTXB,1999,511809.0314
TNTXB,2000,531715.4998
TNTXB,2001,522653.6038
TNTXB,2002,510252.1388
TNTXB,2003,509098.241
TNTXB,2004,531589.1585
TNTXB,2005,527720.735
TNTXB,2006,528798.2288
TNTXB,2007,551314.935
TNTXB,2008,535153.3021
TNTXB,2009,514669.9781
