Year,Data
1960,91516.29852
1961,101810.6589
1962,108763.3341
1963,111938.921
1964,109121.6739
1965,114993.7532
1966,112987.6835
1967,117205.0919
1968,128533.2482
1969,133422.2664
1970,138461.1187
1971,142540.455
1972,159267.5486
1973,158856.2527
1974,160014.1891
1975,158078.601
1976,163068.3386
1977,164186.0098
1978,173952.3958
1979,173597.5169
1980,176347.3345
1981,193241.2597
1982,174894.4333
1983,158760.3475
1984,141930.7058
1985,163626.201
1986,170042.97600000002
1987,177779.8252
1988,192202.6592
1989,205965.8446
1990,230413.7187
1991,225493.5053
1992,211683.7276
1993,224220.4055
1994,213429.5001
1995,195275.7056
1996,186730.0769
1997,233725.2002
1998,231233.6349
1999,231002.2113
2000,226510.9996
2001,230165.0716
2002,225776.2022
2003,216756.5776
2004,226181.2953
2005,219691.0463
2006,227605.4181
2007,219540.1515
2008,208004.0544
2009,202385.1847
