Year,Data
1960,798018.2296
1961,814528.5529
1962,836013.2326
1963,860948.4271
1964,888990.0856
1965,920388.7648
1966,951667.2378
1967,1002756.813
1968,1096153.896
1969,1159308.381
1970,1211721.191
1971,1257792.7759999998
1972,1360300.1519999998
1973,1485796.02
1974,1508953.208
1975,1561401.988
1976,1613678.052
1977,1727264.48
1978,1825561.03
1979,1880592.984
1980,1801946.491
1981,1825953.612
1982,1882945.968
1983,1880447.395
1984,1959857.554
1985,2027384.782
1986,2073302.961
1987,2032586.239
1988,2146023.802
1989,2149960.814
1990,2155141.8030000003
1991,2103189.156
1992,2149477.456
1993,2143063.526
1994,2200292.273
1995,2167766.809
1996,2340281.247
1997,2404696.806
1998,2526544.402
1999,2512336.751
2000,2565843.693
2001,2677086.271
2002,2771307.253
2003,2656664.346
2004,2703472.965
2005,2729490.915
2006,2863263.2610000004
2007,2907754.557
2008,2870450.757
2009,2724206.6760000004
