Year,Data
1960,201279.8248
1961,207924.444
1962,224794.7478
1963,247717.5051
1964,266579.4641
1965,280426.8824
1966,308382.2856
1967,377156.0242
1968,402864.0446
1969,433870.0624
1970,462300.673
1971,482706.649
1972,521477.1118
1973,564711.8305
1974,551904.2086
1975,566274.6777
1976,598119.8871
1977,663303.9047
1978,713455.7841
1979,816533.2362
1980,760193.7144
1981,788171.3732
1982,818907.6236
1983,892409.7351
1984,878272.7683
1985,893693.0525
1986,876652.1833
1987,902336.4233
1988,946198.4339
1989,993076.655
1990,1009597.015
1991,1024283.523
1992,1023692.739
1993,1039312.501
1994,1069547.477
1995,1133532.566
1996,1134763.852
1997,1188172.954
1998,1220153.326
1999,1251401.4640000002
2000,1353967.362
2001,1337497.3590000002
2002,1328778.148
2003,1312957.074
2004,1308206.855
2005,1395007.229
2006,1373061.772
2007,1375403.844
2008,1415147.748
2009,1459571.7769999998
