Year,Data
1960,433199.6131
1961,447910.6347
1962,518105.9111
1963,579584.249
1964,630186.9509
1965,671895.6554
1966,741537.7142
1967,815227.1598
1968,898901.8966
1969,1024875.856
1970,1102358.542
1971,1211429.709
1972,1359361.033
1973,1413416.3080000004
1974,1480246.698
1975,1528648.174
1976,1602233.975
1977,1804757.41
1978,1949322.587
1979,2000510.375
1980,2173443.243
1981,2207365.318
1982,2200529.251
1983,2206060.146
1984,2302918.603
1985,2331942.075
1986,2264602.731
1987,2259195.889
1988,2350438.734
1989,2605261.905
1990,2640827.645
1991,2671652.801
1992,2684437.3210000005
1993,2774473.295
1994,2864479.559
1995,2951742.43
1996,3051917.1580000008
1997,3135941.025
1998,3343513.381
1999,3363640.863
2000,3523714.517
2001,3425471.831
2002,3489205.586
2003,3424876.819
2004,3467973.394
2005,3539984.718000001
2006,3565374.18
2007,3628747.488
2008,3652090.891
2009,3556758.114
