Year,Data
1960,3069704.401
1961,3083788.739
1962,3180516.562
1963,3286332.336
1964,3339082.395
1965,3494003.483
1966,3715314.541
1967,3853133.433
1968,4064505.73
1969,4284395.386
1970,4427927.933
1971,4644493.334
1972,4806806.899
1973,5226446.2760000015
1974,5072971.876
1975,4476429.838
1976,4696388.631
1977,5001619.801
1978,5215168.272
1979,5331251.1110000005
1980,5533705.177999998
1981,5317193.338
1982,4582829.892
1983,4506367.178
1984,4869332.463
1985,4820883.221
1986,4707757.414
1987,4924545.5030000005
1988,5308078.454
1989,5469387.391
1990,5575489.838
1991,5596846.525
1992,5727818.902000002
1993,5746011.511
1994,5927941.607000002
1995,6059878.43
1996,6637185.199
1997,6861007.914
1998,6817072.304
1999,6485897.307999998
2000,6586698.318
2001,6310527.904
2002,6410045.681
2003,6423694.331
2004,6492687.284
2005,5810122.984
2006,6178128.5
2007,6194755.828
2008,5866009.291
2009,5502161.262
