Year,Data
1960,118584.8406
1961,120634.0069
1962,130810.8166
1963,143823.2939
1964,156017.8512
1965,159843.6091
1966,177970.6926
1967,235142.4128
1968,249795.0675
1969,263486.018
1970,273532.7834
1971,274307.3417
1972,290259.129
1973,320974.7667
1974,297887.29600000003
1975,288952.1613
1976,311461.2525
1977,354362.2228
1978,378971.4585
1979,483136.8925
1980,399029.575
1981,410631.4137
1982,420884.6858
1983,481338.6693
1984,433600.3708
1985,423639.6555
1986,407044.4302
1987,430654.5852
1988,451288.1153
1989,461971.1554
1990,455458.0803
1991,464078.2324
1992,467952.0058
1993,456698.519
1994,473877.6923
1995,514640.7314
1996,491111.5908
1997,534070.994
1998,516211.2561
1999,526222.4496
2000,584209.937
2001,562945.4371
2002,594479.5714
2003,589197.945
2004,560626.9154
2005,573046.214
2006,557915.5936
2007,566413.2002
2008,586469.2455
2009,608774.218
