Year,Data
1960,2946497.639
1961,2957090.73
1962,3039369.228
1963,3130617.729
1964,3167693.425
1965,3301084.523
1966,3492247.12
1967,3609924.552
1968,3790999.673
1969,3977123.495
1970,4095494.62
1971,4296389.108
1972,4428864.91
1973,4823308.178
1974,4647116.109
1975,4028642.367
1976,4204365.507
1977,4444788.169
1978,4618331.634
1979,4708839.053
1980,4892803.175
1981,4678763.177
1982,3969262.1960000005
1983,3867405.823
1984,4225543.554
1985,4186059.732
1986,4099010.649
1987,4326157.954
1988,4691781.478
1989,4818639.372
1990,4917176.103
1991,4943602.722
1992,5069183.277
1993,5074870.998
1994,5238625.205
1995,5365978.206
1996,5902309.288
1997,6089649.857999999
1998,6027363.136
1999,5712246.565
2000,5802741.961
2001,5568109.645
2002,5636915.356000002
2003,5641157.807999998
2004,5737809.387999998
2005,5091610.773
2006,5410230.967
2007,5402156.9120000005
2008,5093317.053
2009,4806204.273
