Year,Data
1960,267633.4473
1961,261750.0072
1962,301163.5278
1963,310324.3545
1964,315113.5429
1965,310425.1592
1966,326391.1673
1967,337786.7472
1968,362340.6364
1969,396809.9279
1970,409582.3574
1971,424318.3197
1972,447466.1213
1973,449581.4982
1974,428588.5107
1975,426372.6188
1976,432323.1031
1977,485357.973
1978,508435.0077
1979,531402.543
1980,461263.0608
1981,447348.7935
1982,479210.0126
1983,463184.2695
1984,516802.6802
1985,516583.4345
1986,496072.8032
1987,527542.0671
1988,535274.0972
1989,566009.7666
1990,544088.5706
1991,555208.3448
1992,541450.6121
1993,564907.3576
1994,555432.8425
1995,557391.7287
1996,600559.452
1997,610318.1683
1998,611742.5355
1999,594012.1906
2000,645919.2717
2001,666613.3291
2002,680112.0467
2003,671658.82
2004,647154.1714
2005,670606.9308
2006,643247.2442
2007,676013.3776
2008,677254.7869
2009,679528.5825
