MSN,Year,Data
TEACB,1960,798018.2296
TEACB,1961,814528.5529
TEACB,1962,836013.2326
TEACB,1963,860948.4271
TEACB,1964,888990.0856
TEACB,1965,920388.7648
TEACB,1966,951667.2378
TEACB,1967,1002756.813
TEACB,1968,1096153.896
TEACB,1969,1159308.381
TEACB,1970,1211721.191
TEACB,1971,1257792.7759999998
TEACB,1972,1360300.1519999998
TEACB,1973,1485796.02
TEACB,1974,1508953.208
TEACB,1975,1561401.988
TEACB,1976,1613678.052
TEACB,1977,1727264.48
TEACB,1978,1825561.03
TEACB,1979,1880592.984
TEACB,1980,1801946.491
TEACB,1981,1825953.612
TEACB,1982,1882945.968
TEACB,1983,1880447.395
TEACB,1984,1959857.554
TEACB,1985,2027384.782
TEACB,1986,2073302.961
TEACB,1987,2032586.239
TEACB,1988,2146023.802
TEACB,1989,2149960.814
TEACB,1990,2155141.8030000003
TEACB,1991,2103189.156
TEACB,1992,2149477.456
TEACB,1993,2143063.526
TEACB,1994,2200292.273
TEACB,1995,2167766.809
TEACB,1996,2340281.247
TEACB,1997,2404696.806
TEACB,1998,2526544.402
TEACB,1999,2512336.751
TEACB,2000,2565843.693
TEACB,2001,2677086.271
TEACB,2002,2771307.253
TEACB,2003,2656664.346
TEACB,2004,2703472.965
TEACB,2005,2729490.915
TEACB,2006,2863263.2610000004
TEACB,2007,2907754.557
TEACB,2008,2870450.757
TEACB,2009,2724206.6760000004
TECCB,1960,201279.8248
TECCB,1961,207924.444
TECCB,1962,224794.7478
TECCB,1963,247717.5051
TECCB,1964,266579.4641
TECCB,1965,280426.8824
TECCB,1966,308382.2856
TECCB,1967,377156.0242
TECCB,1968,402864.0446
TECCB,1969,433870.0624
TECCB,1970,462300.673
TECCB,1971,482706.649
TECCB,1972,521477.1118
TECCB,1973,564711.8305
TECCB,1974,551904.2086
TECCB,1975,566274.6777
TECCB,1976,598119.8871
TECCB,1977,663303.9047
TECCB,1978,713455.7841
TECCB,1979,816533.2362
TECCB,1980,760193.7144
TECCB,1981,788171.3732
TECCB,1982,818907.6236
TECCB,1983,892409.7351
TECCB,1984,878272.7683
TECCB,1985,893693.0525
TECCB,1986,876652.1833
TECCB,1987,902336.4233
TECCB,1988,946198.4339
TECCB,1989,993076.655
TECCB,1990,1009597.015
TECCB,1991,1024283.523
TECCB,1992,1023692.739
TECCB,1993,1039312.501
TECCB,1994,1069547.477
TECCB,1995,1133532.566
TECCB,1996,1134763.852
TECCB,1997,1188172.954
TECCB,1998,1220153.326
TECCB,1999,1251401.4640000002
TECCB,2000,1353967.362
TECCB,2001,1337497.3590000002
TECCB,2002,1328778.148
TECCB,2003,1312957.074
TECCB,2004,1308206.855
TECCB,2005,1395007.229
TECCB,2006,1373061.772
TECCB,2007,1375403.844
TECCB,2008,1415147.748
TECCB,2009,1459571.7769999998
TEEIB,1960,433199.6131
TEEIB,1961,447910.6347
TEEIB,1962,518105.9111
TEEIB,1963,579584.249
TEEIB,1964,630186.9509
TEEIB,1965,671895.6554
TEEIB,1966,741537.7142
TEEIB,1967,815227.1598
TEEIB,1968,898901.8966
TEEIB,1969,1024875.856
TEEIB,1970,1102358.542
TEEIB,1971,1211429.709
TEEIB,1972,1359361.033
TEEIB,1973,1413416.3080000004
TEEIB,1974,1480246.698
TEEIB,1975,1528648.174
TEEIB,1976,1602233.975
TEEIB,1977,1804757.41
TEEIB,1978,1949322.587
TEEIB,1979,2000510.375
TEEIB,1980,2173443.243
TEEIB,1981,2207365.318
TEEIB,1982,2200529.251
TEEIB,1983,2206060.146
TEEIB,1984,2302918.603
TEEIB,1985,2331942.075
TEEIB,1986,2264602.731
TEEIB,1987,2259195.889
TEEIB,1988,2350438.734
TEEIB,1989,2605261.905
TEEIB,1990,2640827.645
TEEIB,1991,2671652.801
TEEIB,1992,2684437.3210000005
TEEIB,1993,2774473.295
TEEIB,1994,2864479.559
TEEIB,1995,2951742.43
TEEIB,1996,3051917.1580000008
TEEIB,1997,3135941.025
TEEIB,1998,3343513.381
