MSN,Year,Data
TNACB,1960,797949.0707
TNACB,1961,814467.0448
TNACB,1962,835962.3766
TNACB,1963,860900.4929
TNACB,1964,888949.5461
TNACB,1965,920356.1837
TNACB,1966,951667.2378
TNACB,1967,1002756.813
TNACB,1968,1096153.896
TNACB,1969,1159308.381
TNACB,1970,1211721.191
TNACB,1971,1257792.7759999998
TNACB,1972,1360300.1519999998
TNACB,1973,1485796.02
TNACB,1974,1508953.208
TNACB,1975,1561401.988
TNACB,1976,1613678.052
TNACB,1977,1727264.48
TNACB,1978,1825561.03
TNACB,1979,1880592.984
TNACB,1980,1801946.491
TNACB,1981,1825953.612
TNACB,1982,1882945.968
TNACB,1983,1880447.395
TNACB,1984,1959857.554
TNACB,1985,2027384.782
TNACB,1986,2073302.961
TNACB,1987,2032586.239
TNACB,1988,2146023.802
TNACB,1989,2149960.814
TNACB,1990,2155141.8030000003
TNACB,1991,2103189.156
TNACB,1992,2149477.456
TNACB,1993,2143063.494
TNACB,1994,2200292.273
TNACB,1995,2167766.809
TNACB,1996,2340222.438
TNACB,1997,2404554.119
TNACB,1998,2526385.048
TNACB,1999,2512185.939
TNACB,2000,2565609.356
TNACB,2001,2676830.144
TNACB,2002,2770971.849
TNACB,2003,2655990.693
TNACB,2004,2702862.492
TNACB,2005,2728967.0560000003
TNACB,2006,2862810.292
TNACB,2007,2907264.077
TNACB,2008,2869950.188
TNACB,2009,2723697.569
TNCCB,1960,118584.8406
TNCCB,1961,120634.0069
TNCCB,1962,130810.8166
TNCCB,1963,143823.2939
TNCCB,1964,156017.8512
TNCCB,1965,159843.6091
TNCCB,1966,177970.6926
TNCCB,1967,235142.4128
TNCCB,1968,249795.0675
TNCCB,1969,263486.018
TNCCB,1970,273532.7834
TNCCB,1971,274307.3417
TNCCB,1972,290259.129
TNCCB,1973,320974.7667
TNCCB,1974,297887.29600000003
TNCCB,1975,288952.1613
TNCCB,1976,311461.2525
TNCCB,1977,354362.2228
TNCCB,1978,378971.4585
TNCCB,1979,483136.8925
TNCCB,1980,399029.575
TNCCB,1981,410631.4137
TNCCB,1982,420884.6858
TNCCB,1983,481338.6693
TNCCB,1984,433600.3708
TNCCB,1985,423639.6555
TNCCB,1986,407044.4302
TNCCB,1987,430654.5852
TNCCB,1988,451288.1153
TNCCB,1989,461971.1554
TNCCB,1990,455458.0803
TNCCB,1991,464078.2324
TNCCB,1992,467952.0058
TNCCB,1993,456698.519
TNCCB,1994,473877.6923
TNCCB,1995,514640.7314
TNCCB,1996,491111.5908
TNCCB,1997,534070.994
TNCCB,1998,516211.2561
TNCCB,1999,526222.4496
TNCCB,2000,584209.937
TNCCB,2001,562945.4371
TNCCB,2002,594479.5714
TNCCB,2003,589197.945
TNCCB,2004,560626.9154
TNCCB,2005,573046.214
TNCCB,2006,557915.5936
TNCCB,2007,566413.2002
TNCCB,2008,586469.2455
TNCCB,2009,608774.218
TNICB,1960,2946497.639
TNICB,1961,2957090.73
TNICB,1962,3039369.228
TNICB,1963,3130617.729
TNICB,1964,3167693.425
TNICB,1965,3301084.523
TNICB,1966,3492247.12
TNICB,1967,3609924.552
TNICB,1968,3790999.673
TNICB,1969,3977123.495
TNICB,1970,4095494.62
TNICB,1971,4296389.108
TNICB,1972,4428864.91
TNICB,1973,4823308.178
TNICB,1974,4647116.109
TNICB,1975,4028642.367
TNICB,1976,4204365.507
TNICB,1977,4444788.169
TNICB,1978,4618331.634
TNICB,1979,4708839.053
TNICB,1980,4892803.175
TNICB,1981,4678763.177
TNICB,1982,3969262.1960000005
TNICB,1983,3867405.823
TNICB,1984,4225543.554
TNICB,1985,4186059.732
TNICB,1986,4099010.649
TNICB,1987,4326157.954
TNICB,1988,4691781.478
TNICB,1989,4818639.372
TNICB,1990,4917176.103
TNICB,1991,4943602.722
TNICB,1992,5069183.277
TNICB,1993,5074870.998
TNICB,1994,5238625.205
TNICB,1995,5365978.206
TNICB,1996,5902309.288
TNICB,1997,6089649.857999999
TNICB,1998,6027363.136
TNICB,1999,5712246.565
TNICB,2000,5802741.961
TNICB,2001,5568109.645
TNICB,2002,5636915.356000002
TNICB,2003,5641157.807999998
TNICB,2004,5737809.387999998
TNICB,2005,5091610.773
TNICB,2006,5410230.967
TNICB,2007,5402156.9120000005
TNICB,2008,5093317.053
TNICB,2009,4806204.273
TNRCB,1960,267633.4473
TNRCB,1961,261750.0072
TNRCB,1962,301163.5278
TNRCB,1963,310324.3545
TNRCB,1964,315113.5429
TNRCB,1965,310425.1592
TNRCB,1966,326391.1673
TNRCB,1967,337786.7472
TNRCB,1968,362340.6364
TNRCB,1969,396809.9279
TNRCB,1970,409582.3574
TNRCB,1971,424318.3197
TNRCB,1972,447466.1213
TNRCB,1973,449581.4982
TNRCB,1974,428588.5107
TNRCB,1975,426372.6188
TNRCB,1976,432323.1031
TNRCB,1977,485357.973
TNRCB,1978,508435.0077
TNRCB,1979,531402.543
TNRCB,1980,461263.0608
TNRCB,1981,447348.7935
TNRCB,1982,479210.0126
TNRCB,1983,463184.2695
TNRCB,1984,516802.6802
TNRCB,1985,516583.4345
TNRCB,1986,496072.8032
TNRCB,1987,527542.0671
TNRCB,1988,535274.0972
TNRCB,1989,566009.7666
TNRCB,1990,544088.5706
TNRCB,1991,555208.3448
TNRCB,1992,541450.6121
TNRCB,1993,564907.3576
TNRCB,1994,555432.8425
TNRCB,1995,557391.7287
TNRCB,1996,600559.452
TNRCB,1997,610318.1683
TNRCB,1998,611742.5355
TNRCB,1999,594012.1906
TNRCB,2000,645919.2717
TNRCB,2001,666613.3291
TNRCB,2002,680112.0467
TNRCB,2003,671658.82
TNRCB,2004,647154.1714
TNRCB,2005,670606.9308
TNRCB,2006,643247.2442
TNRCB,2007,676013.3776
TNRCB,2008,677254.7869
TNRCB,2009,679528.5825
TNTXB,1960,4130664.997
TNTXB,1961,4153941.789
TNTXB,1962,4307305.949
TNTXB,1963,4445665.871
TNTXB,1964,4527774.365
TNTXB,1965,4691709.475
TNTXB,1966,4948276.217
TNTXB,1967,5185610.525
TNTXB,1968,5499289.272999999
TNTXB,1969,5796727.822000002
TNTXB,1970,5990330.951
TNTXB,1971,6252807.545
TNTXB,1972,6526890.312999999
TNTXB,1973,7079660.463
TNTXB,1974,6882545.124
TNTXB,1975,6305369.135
TNTXB,1976,6561827.915
TNTXB,1977,7011772.844
TNTXB,1978,7331299.13
TNTXB,1979,7603971.472
TNTXB,1980,7555042.302
TNTXB,1981,7362696.997
TNTXB,1982,6752302.862000002
TNTXB,1983,6692376.1570000015
TNTXB,1984,7135804.159
TNTXB,1985,7153667.603999998
TNTXB,1986,7075430.8429999985
TNTXB,1987,7316940.846
TNTXB,1988,7824367.4920000015
TNTXB,1989,7996581.107000002
TNTXB,1990,8071864.556
TNTXB,1991,8066078.455
TNTXB,1992,8228063.351
TNTXB,1993,8239540.368
TNTXB,1994,8468228.013
TNTXB,1995,8605777.474
TNTXB,1996,9334202.769
TNTXB,1997,9638593.139
TNTXB,1998,9681701.975
TNTXB,1999,9344667.144
TNTXB,2000,9598480.525
TNTXB,2001,9474498.555
TNTXB,2002,9682478.823
TNTXB,2003,9558005.266
TNTXB,2004,9648452.967
TNTXB,2005,9064230.974
TNTXB,2006,9474204.097
TNTXB,2007,9551847.566
TNTXB,2008,9226991.273
TNTXB,2009,8818204.643
