MSN,StateCode,Year,Data
ABICB,CA,1960,0.0
ABICB,CA,1961,0.0
ABICB,CA,1962,0.0
ABICB,CA,1963,0.0
ABICB,CA,1964,0.0
ABICB,CA,1965,0.0
ABICB,CA,1966,0.0
ABICB,CA,1967,0.0
ABICB,CA,1968,0.0
ABICB,CA,1969,0.0
ABICB,CA,1970,0.0
ABICB,CA,1971,0.0
ABICB,CA,1972,0.0
ABICB,CA,1973,0.0
ABICB,CA,1974,0.0
ABICB,CA,1975,0.0
ABICB,CA,1976,0.0
ABICB,CA,1977,0.0
ABICB,CA,1978,0.0
ABICB,CA,1979,0.0
ABICB,CA,1980,0.0
ABICB,CA,1981,716.80045
ABICB,CA,1982,765.58594
ABICB,CA,1983,108.28187
ABICB,CA,1984,12.43327
ABICB,CA,1985,585.59511
ABICB,CA,1986,80.96497
ABICB,CA,1987,6.8357
ABICB,CA,1988,-157.27751
ABICB,CA,1989,15.26505
ABICB,CA,1990,33.21458
ABICB,CA,1991,-10.23315
ABICB,CA,1992,19.79704
ABICB,CA,1993,18.739539999999998
ABICB,CA,1994,769.11757
ABICB,CA,1995,642.46184
ABICB,CA,1996,848.4109
ABICB,CA,1997,1092.17099
ABICB,CA,1998,474.99075
ABICB,CA,1999,746.80056
ABICB,CA,2000,448.77159000000006
ABICB,CA,2001,739.36885
ABICB,CA,2002,907.32565
ABICB,CA,2003,884.51889
ABICB,CA,2004,1251.4614900000001
ABICB,CA,2005,1016.4268099999999
ABICB,CA,2006,76.26973000000001
ABICB,CA,2007,207.63605
ABICB,CA,2008,11.0474
ABICB,CA,2009,-87.47043000000001
ABICP,CA,1960,0.0
ABICP,CA,1961,0.0
ABICP,CA,1962,0.0
ABICP,CA,1963,0.0
ABICP,CA,1964,0.0
ABICP,CA,1965,0.0
ABICP,CA,1966,0.0
ABICP,CA,1967,0.0
ABICP,CA,1968,0.0
ABICP,CA,1969,0.0
ABICP,CA,1970,0.0
ABICP,CA,1971,0.0
ABICP,CA,1972,0.0
ABICP,CA,1973,0.0
ABICP,CA,1974,0.0
ABICP,CA,1975,0.0
ABICP,CA,1976,0.0
ABICP,CA,1977,0.0
ABICP,CA,1978,0.0
ABICP,CA,1979,0.0
ABICP,CA,1980,0.0
ABICP,CA,1981,141.99692
ABICP,CA,1982,151.66124
ABICP,CA,1983,21.45045
ABICP,CA,1984,2.4630099999999997
ABICP,CA,1985,116.00537
ABICP,CA,1986,16.03902
ABICP,CA,1987,1.35414
ABICP,CA,1988,-31.1564
ABICP,CA,1989,3.02398
ABICP,CA,1990,6.57975
ABICP,CA,1991,-2.02717
ABICP,CA,1992,3.92176
ABICP,CA,1993,3.7122699999999997
ABICP,CA,1994,152.36085
ABICP,CA,1995,127.27056999999999
ABICP,CA,1996,168.06871999999998
ABICP,CA,1997,216.35717000000002
ABICP,CA,1998,94.09484
ABICP,CA,1999,147.93989
ABICP,CA,2000,88.90087
ABICP,CA,2001,146.46768
ABICP,CA,2002,179.73963
ABICP,CA,2003,175.22165
ABICP,CA,2004,247.91234
ABICP,CA,2005,201.35238
ABICP,CA,2006,15.1089
ABICP,CA,2007,41.13234
ABICP,CA,2008,2.18847
ABICP,CA,2009,-17.32774
ARICB,CA,1960,70774.23143
ARICB,CA,1961,76144.71352
ARICB,CA,1962,78080.1994
ARICB,CA,1963,80479.18521
ARICB,CA,1964,83422.03672999999
ARICB,CA,1965,78915.22805
ARICB,CA,1966,80100.43032999999
ARICB,CA,1967,73535.15058
ARICB,CA,1968,78732.00371
ARICB,CA,1969,86848.51496
ARICB,CA,1970,80189.82455
ARICB,CA,1971,80854.88162
ARICB,CA,1972,81142.71002
ARICB,CA,1973,87351.64108
ARICB,CA,1974,79024.01439
ARICB,CA,1975,87238.73266000001
ARICB,CA,1976,93449.23997000001
ARICB,CA,1977,99518.97052
ARICB,CA,1978,101859.8548
ARICB,CA,1979,142557.645
ARICB,CA,1980,122308.7164
ARICB,CA,1981,65241.51341
ARICB,CA,1982,65153.73579
ARICB,CA,1983,73769.4404
ARICB,CA,1984,101279.4951
ARICB,CA,1985,91894.48861
ARICB,CA,1986,102016.5525
ARICB,CA,1987,109215.7437
ARICB,CA,1988,101814.9885
ARICB,CA,1989,99513.65754
ARICB,CA,1990,98621.05793
ARICB,CA,1991,94569.61171
ARICB,CA,1992,89971.09246
ARICB,CA,1993,82504.34456
ARICB,CA,1994,81207.5955
ARICB,CA,1995,81036.2289
ARICB,CA,1996,82279.99878
ARICB,CA,1997,76390.54321
ARICB,CA,1998,103333.9789
ARICB,CA,1999,135149.8839
ARICB,CA,2000,135103.8937
ARICB,CA,2001,125554.839
ARICB,CA,2002,118493.1644
ARICB,CA,2003,90543.81675
ARICB,CA,2004,91629.57949
ARICB,CA,2005,87109.93925
ARICB,CA,2006,80492.43371
ARICB,CA,2007,99922.13094
ARICB,CA,2008,82940.51795
ARICB,CA,2009,71557.59172000001
ARICD,CA,1970,0.48688000000000003
ARICD,CA,1971,0.64175
ARICD,CA,1972,0.6441899999999999
ARICD,CA,1973,0.69217
ARICD,CA,1974,1.46607
ARICD,CA,1975,1.6159
ARICD,CA,1976,1.60089
ARICD,CA,1977,1.69957
ARICD,CA,1978,1.8141
ARICD,CA,1979,2.71572
ARICD,CA,1980,3.7792199999999996
ARICD,CA,1981,4.5909
ARICD,CA,1982,3.9816199999999995
ARICD,CA,1983,4.40364
ARICD,CA,1984,4.55881
ARICD,CA,1985,4.77696
ARICD,CA,1986,5.07644
ARICD,CA,1987,5.357530000000001
ARICD,CA,1988,4.53416
ARICD,CA,1989,3.09698
ARICD,CA,1990,3.13119
ARICD,CA,1991,3.1827099999999997
ARICD,CA,1992,2.74171
ARICD,CA,1993,2.6019
ARICD,CA,1994,2.9462099999999998
ARICD,CA,1995,3.08842
ARICD,CA,1996,3.4139
ARICD,CA,1997,3.5097199999999997
ARICD,CA,1998,3.67685
ARICD,CA,1999,3.5973699999999997
ARICD,CA,2000,3.4338900000000003
ARICD,CA,2001,3.9111300000000004
ARICD,CA,2002,4.05825
ARICD,CA,2003,4.50126
ARICD,CA,2004,4.74377
ARICD,CA,2005,5.03796
ARICD,CA,2006,5.69514
ARICD,CA,2007,7.37322
ARICD,CA,2008,7.52313
ARICD,CA,2009,7.529210000000001
ARICP,CA,1960,10665.194609999999
ARICP,CA,1961,11474.48968
ARICP,CA,1962,11766.15422
ARICP,CA,1963,12127.66504
ARICP,CA,1964,12571.13272
ARICP,CA,1965,11891.98735
ARICP,CA,1966,12070.589259999999
ARICP,CA,1967,11081.24632
ARICP,CA,1968,11864.376690000001
ARICP,CA,1969,13087.47965
ARICP,CA,1970,12084.06036
ARICP,CA,1971,12184.27993
ARICP,CA,1972,12227.653709999999
ARICP,CA,1973,13163.29733
ARICP,CA,1974,11908.38071
ARICP,CA,1975,13146.2828
ARICP,CA,1976,14082.16395
ARICP,CA,1977,14996.831
ARICP,CA,1978,15349.586309999999
ARICP,CA,1979,21482.46609
ARICP,CA,1980,18431.090480000003
ARICP,CA,1981,9831.45169
ARICP,CA,1982,9818.2242
ARICP,CA,1983,11116.5522
ARICP,CA,1984,15262.13007
ARICP,CA,1985,13847.87351
ARICP,CA,1986,15373.19959
ARICP,CA,1987,16458.06867
ARICP,CA,1988,15342.82527
ARICP,CA,1989,14996.030369999999
ARICP,CA,1990,14861.521690000001
ARICP,CA,1991,14250.99634
ARICP,CA,1992,13558.03081
ARICP,CA,1993,12432.84276
ARICP,CA,1994,12237.431509999999
ARICP,CA,1995,12211.60773
ARICP,CA,1996,12399.03538
ARICP,CA,1997,11511.53454
ARICP,CA,1998,15571.72677
