MSN,Description,Unit
ABICB,Aviation gasoline blending components consumed by the industrial sector.,Billion Btu
ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels
ARICB,Asphalt and road oil consumed by the industrial sector.,Billion Btu
ARICD,Asphalt and road oil price in the industrial sector.,Dollars per million Btu
ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels
ARICV,Asphalt and road oil expenditures in the industrial sector.,Million dollars
ARTCB,Asphalt and road oil total consumption.,Billion Btu
ARTCD,"Asphalt and road oil average price, all sectors.",Dollars per million Btu
ARTCP,Asphalt and road oil total consumption.,Thousand barrels
ARTCV,Asphalt and road oil total expenditures.,Million dollars
ARTXB,Asphalt and road oil total end-use consumption.,Billion Btu
ARTXD,"Asphalt and road oil average price, all end-use sectors.",Dollars per million Btu
ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels
ARTXV,Asphalt and road oil total end-use expenditures.,Million dollars
AVACB,Aviation gasoline consumed by the transportation sector.,Billion Btu
AVACD,Aviation gasoline price in the transportation sector.,Dollars per million Btu
AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels
AVACV,Aviation gasoline expenditures in the transportation sector.,Million dollars
AVTCB,Aviation gasoline total consumption.,Billion Btu
AVTCD,"Aviation gasoline average price, all sectors.",Dollars per million Btu
AVTCP,Aviation gasoline total consumption.,Thousand barrels
AVTCV,Aviation gasoline total expenditures.,Million dollars
AVTXB,Aviation gasoline total end-use consumption.,Billion Btu
AVTXD,"Aviation gasoline average price, all end-use sectors.",Dollars per million Btu
AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels
AVTXV,Aviation gasoline total end-use expenditures.,Million dollars
BMTCB,Biomass total consumption,Billion Btu
CCEXB,Coal coke exported from the United States. ,Billion Btu
CCEXD,"Coal coke exports average price, United States.",Dollars per million Btu
CCEXP,Coal coke exported from the United States. ,Thousand short tons
CCEXV,"Coal coke exports expenditures, United States.",Million dollars
CCIMB,Coal coke imported into the United States.,Billion Btu
CCIMD,"Coal coke imports average price, United States.",Dollars per million Btu
CCIMP,Coal coke imported into the United States.,Thousand short tons
CCIMV,"Coal coke imports expenditures, United States.",Million dollars
CCNIB,Coal coke net imports into the United States.,Billion Btu
CCNIP,Coal coke net imports into the United States.,Thousand short tons
CCNIV,"Coal coke net imports expenditures, United States.",Million dollars
CLACB,Coal consumed by the transportation sector.,Billion Btu
CLACD,Coal price in the transportation sector.,Dollars per million Btu
CLACK,Factor for converting coal consumed by the transportation sector from physical units to Btu.,Million Btu per short ton
CLACP,Coal consumed by the transportation sector.,Thousand short tons
CLACV,Coal expenditures in the transportation sector.,Million dollars
CLCCB,Coal consumed by the commercial sector.,Billion Btu
CLCCD,Coal price in the commercial sector.,Dollars per million Btu
CLCCP,Coal consumed by the commercial sector.,Thousand short tons
CLCCV,Coal expenditures in the commercial sector.,Million dollars
CLEIB,Coal consumed by the electric power sector.,Billion Btu
CLEID,Coal price in the electric power sector.,Dollars per million Btu
CLEIK,Factor for converting coal consumed by the electric power sector from physical units to Btu.,Million Btu per short ton
CLEIP,Coal consumed by the electric power sector.,Thousand short tons
CLEIV,Coal expenditures in the electric power sector.,Million dollars
CLHCK,Factor for converting coal consumed by the residential and commercial sectors from physical units to Btu.,Million Btu per short ton
CLICB,Coal consumed by the industrial sector.,Billion Btu
CLICD,Coal price in the industrial sector.,Million dollars
CLICP,Coal consumed by the industrial sector.,Thousand short tons
CLICV,Coal expenditures in the industrial sector.,Million dollars
CLKCB,Coal consumed at coke plants (coking coal).,Billion Btu
CLKCD,Coal price at coke plants.,Dollars per million Btu
CLKCK,Factor for converting coal carbonized at coke plants from physical units to Btu.,Million Btu per short ton
CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons
CLKCV,Coal expenditures at coke plants.,Million dollars
CLOCB,Coal consumed by industrial users other than coke plants.,Billion Btu
CLOCD,Coal price in the industrial sector other than coke plants.,Dollars per million Btu
CLOCK,Factor for converting coal consumed by industrial users other than coke plants from physical units to Btu.,Million Btu per short ton
CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons
CLOCV,Coal expenditures in the industrial sector other than coke plants.,Million dollars
CLOSB,Coal consumed by the industrial sector excluding refinery fuel.,Billion Btu
CLPRB,Coal production.,Billion Btu
CLPRK,Factor for converting coal production from physical units to Btu.,Million Btu per short ton
CLPRP,Coal production.,Thousand short tons
CLRCB,Coal consumed by the residential sector.,Billion Btu
CLRCD,Coal price in the residential sector.,Dollars per million Btu
CLRCP,Coal consumed by the residential sector.,Thousand short tons
CLRCV,Coal expenditures in the residential sector.,Million dollars
CLRFB,Coal consumed as refinery fuel.,Billion Btu
CLTCB,Coal total consumption.,Billion Btu
CLTCD,"Coal average price, all sectors.",Dollars per million Btu
CLTCP,Coal total consumption.,Thousand short tons
CLTCV,Coal total expenditures.,Million dollars
CLTXB,Coal total end-use consumption.,Billion Btu
CLTXD,"Coal average price, all end-use sectors.",Dollars per million Btu
CLTXP,Coal total end-use consumption.,Thousand barrels
CLTXV,Coal total end-use expenditures.,Million dollars
CLXCD,Coal average price for all sectors excluding refinery fuel.,Dollars per million Btu
CLXCV,Coal expenditures for all sectors excluding refinery fuel.,Million dollars
COICB,Crude oil consumed by the industrial sector.,Billion Btu
COICP,Crude oil consumed by the industrial sector.,Thousand barrels
COPRK,Factor for converting crude oil production from physical units to Btu.,Million Btu per barrel
DFACB,Distillate fuel oil consumed by the transportation sector.,Billion Btu
DFACD,Distillate fuel oil price in the transportation sector.,Dollars per million Btu
DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels
DFACV,Distillate fuel oil expenditures in the transportation sector.,Million dollars
DFCCB,Distillate fuel oil consumed by the commercial sector.,Billion Btu
DFCCD,Distillate fuel oil price in the commercial sector.,Dollars per million Btu
DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels
DFCCV,Distillate fuel oil expenditures in the commercial sector.,Million dollars
DFEID,Distillate fuel oil price in the electric power sector.,Dollars per million Btu
DFEIV,Distillate fuel oil expenditures in the electric power sector.,Million dollars
DFICB,Distillate fuel oil consumed by the industrial sector.,Billion Btu
DFICD,Distillate fuel oil price in the industrial sector.,Dollars per million Btu
DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels
DFICV,Distillate fuel oil expenditures in the industrial sector.,Million dollars
DFISB,Distillate fuel oil consumed by the industrial sector excluding refinery fuel.,Billion Btu
DFRCB,Distillate fuel oil consumed by the residential sector.,Billion Btu
DFRCD,Distillate fuel oil price in the residential sector.,Dollars per million Btu
DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels
DFRCV,Distillate fuel oil expenditures in the residential sector.,Million dollars
DFRFB,Distillate fuel oil consumed as refinery fuel.,Billion Btu
DFTCB,Distillate fuel oil total consumption.,Billion Btu
DFTCD,"Distillate fuel oil average price, all sectors.",Dollars per million Btu
DFTCP,Distillate fuel oil total consumption.,Thousand barrels
DFTCV,Distillate fuel oil total expenditures.,Million dollars
DFTXB,Distillate fuel oil total end-use consumption.,Billion Btu
DFTXD,"Distillate fuel oil average price, all end-use sectors.",Dollars per million Btu
DFTXP,Distillate fuel oil total end-use consumption.,Thousand barrels
DFTXV,Distillate fuel oil total end-use expenditures.,Million dollars
DKEIB,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Billion Btu
DKEID,Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.,Dollars per million Btu
DKEIP,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Thousand barrels
DKEIV,Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.,Million dollars
ELEXB,Electricity exported from the United States.,Billion Btu
ELEXD,Electricity exports average price.,Dollars per million Btu
ELEXP,Electricity exported from the United States.,Million kilowatthours
ELEXV,Electricity exports expenditures.,Million dollars
ELIMB,Electricity imported into the United States.,Billion Btu
ELIMD,Electricity imports average price.,Dollars per million Btu
ELIMP,Electricity imported into the United States.,Million kilowatthours
ELIMV,Electricity imports expenditures.,Million dollars
ELISB,Net interstate sales of electricity and associated losses (negative and positive values).,Billion Btu
ELNIB,Net imports of electricity into the United States.,Billion Btu
ELNIP,Net imports of electricity into the United States.,Million kilowatthours
EMACB,"Fuel ethanol, excluding denaturant, consumed by the transportation sector.   ",Billion Btu
EMACV,"Fuel ethanol, excluding denaturant, expenditures in the transportation sector.",Million dollars
EMCCB,"Fuel ethanol, excluding denaturant, consumed by the commercial sector ",Billion Btu
EMCCV,"Fuel ethanol, excluding denaturant, expenditures in the commercial sector.",Million dollars
EMFDB,Biomass inputs (feedstock) for the production of fuel ethanol.,Billion Btu
EMICB,"Fuel ethanol, excluding denaturant, consumed by the industrial sector. ",Billion Btu
EMICV,"Fuel ethanol, excluding denaturant, expenditures in the industrial sector.",Million dollars
EMLCB,Energy losses and co-products from the production of fuel ethanol.,Billion Btu
EMTCB,"Fuel ethanol, excluding denaturant, total consumption.",Billion Btu
EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels
EMTCV,"Fuel ethanol, excluding denaturant, total expenditures.",Million dollars
ENACP,"Fuel ethanol, including denaturant, consumed by the transportation sector.",Thousand barrels
ENCCP,"Fuel ethanol, including denaturant, consumed by the commercial sector.",Thousand barrels
ENICP,"Fuel ethanol, including denaturant, consumed by the industrial sector.",Thousand barrels
ENPRP,"Fuel ethanol production, including denaturant.",Thousand barrels
ENTCK,Factor for converting fuel ethanol consumption from physical units to Btu.,Million Btu per barrel
ENTCP,"Fuel ethanol, including denaturant, total consumption.",Thousand barrels
ESACB,"Electricity consumed by (i.e., sold to) the transportation sector.",Billion Btu
ESACD,Electricity price in the transportation sector.,Dollars per million Btu
ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours
ESACV,Electricity expenditures in the transportation sector.,Million dollars
ESCCB,"Electricity consumed by (i.e., sold to) the commercial sector.",Billion Btu
ESCCD,Electricity price in the commercial sector.,Dollars per million Btu
ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours
ESCCV,Electricity expenditures in the commercial sector.,Million dollars
ESICB,"Electricity consumed by (i.e., sold to) the industrial sector.",Billion Btu
ESICD,Electricity price in the industrial sector.,Dollars per million Btu
ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours
ESICV,Electricity expenditures in the industrial sector.,Million dollars
