MSN,Year,Data
CLTCD,1970,0.21136
CLTCD,1971,0.25097
CLTCD,1972,0.33373
CLTCD,1973,0.32601
CLTCD,1974,0.17406
CLTCD,1975,0.22792
CLTCD,1976,0.27372
CLTCD,1977,0.54135
CLTCD,1978,0.5328
CLTCD,1979,0.91357
CLTCD,1980,1.00804
CLTCD,1981,1.09022
CLTCD,1982,1.26963
CLTCD,1983,1.31452
CLTCD,1984,1.28608
CLTCD,1985,1.36169
CLTCD,1986,1.42325
CLTCD,1987,1.3293700000000002
CLTCD,1988,1.42244
CLTCD,1989,1.38267
CLTCD,1990,1.45084
CLTCD,1991,1.43184
CLTCD,1992,1.3964299999999998
CLTCD,1993,1.37536
CLTCD,1994,1.39868
CLTCD,1995,1.4184
CLTCD,1996,1.46508
CLTCD,1997,1.44558
CLTCD,1998,1.35459
CLTCD,1999,1.3509799999999998
CLTCD,2000,1.26164
CLTCD,2001,1.2723
CLTCD,2002,1.26986
CLTCD,2003,1.2819999999999998
CLTCD,2004,1.30544
CLTCD,2005,1.42469
CLTCD,2006,1.45112
CLTCD,2007,1.60882
CLTCD,2008,1.7614299999999998
CLTCD,2009,1.82553
ESTCD,1970,5.3244
ESTCD,1971,5.41099
ESTCD,1972,5.79022
ESTCD,1973,6.31862
ESTCD,1974,7.62665
ESTCD,1975,9.6518
ESTCD,1976,10.328
ESTCD,1977,11.83254
ESTCD,1978,12.68814
ESTCD,1979,14.14911
ESTCD,1980,15.67811
ESTCD,1981,16.88133
ESTCD,1982,19.83921
ESTCD,1983,20.15861
ESTCD,1984,20.55666
ESTCD,1985,21.14944
ESTCD,1986,21.871920000000006
ESTCD,1987,21.31357
ESTCD,1988,21.73489
ESTCD,1989,22.09514
ESTCD,1990,22.81347
ESTCD,1991,23.09213
ESTCD,1992,23.93648
ESTCD,1993,24.05341
ESTCD,1994,23.22789
ESTCD,1995,22.32023
ESTCD,1996,22.11201
ESTCD,1997,21.63151
ESTCD,1998,21.47574
ESTCD,1999,21.19633
ESTCD,2000,21.24508
ESTCD,2001,21.29894
ESTCD,2002,21.13391
ESTCD,2003,21.5218
ESTCD,2004,21.82902
ESTCD,2005,22.82642
ESTCD,2006,24.14242
ESTCD,2007,25.01884
ESTCD,2008,26.7132
ESTCD,2009,28.00765
NGTCD,1970,0.54105
NGTCD,1971,0.57719
NGTCD,1972,0.5824600000000001
NGTCD,1973,0.65317
NGTCD,1974,0.75068
NGTCD,1975,1.01352
NGTCD,1976,1.27447
NGTCD,1977,1.61416
NGTCD,1978,1.81529
NGTCD,1979,2.4043400000000004
NGTCD,1980,2.86166
NGTCD,1981,3.1787
NGTCD,1982,4.4343900000000005
NGTCD,1983,4.99375
NGTCD,1984,5.09727
NGTCD,1985,4.92347
NGTCD,1986,4.1236
NGTCD,1987,4.09725
NGTCD,1988,4.45087
NGTCD,1989,3.92316
NGTCD,1990,4.52257
NGTCD,1991,4.58089
NGTCD,1992,4.5652300000000015
NGTCD,1993,4.85765
NGTCD,1994,4.63727
NGTCD,1995,4.63229
NGTCD,1996,4.87987
NGTCD,1997,4.9313400000000005
NGTCD,1998,4.92151
NGTCD,1999,4.94796
NGTCD,2000,5.95279
NGTCD,2001,6.17686
NGTCD,2002,5.47989
NGTCD,2003,6.38679
NGTCD,2004,6.77772
NGTCD,2005,8.83425
NGTCD,2006,8.122110000000001
NGTCD,2007,8.443769999999999
NGTCD,2008,9.74765
NGTCD,2009,6.38089
NUETD,1970,0.0
NUETD,1971,0.0
NUETD,1972,0.0
NUETD,1973,0.0
NUETD,1974,0.0
NUETD,1975,0.0
