Year,Data
1970,1.82253
1971,2.22759
1972,2.51057
1973,3.2362900000000003
1974,8.417589999999999
1975,21.07089
1976,38.30955
1977,97.35965
1978,85.23657
1979,224.94754
1980,246.96301
1981,348.259
1982,426.90799
1983,388.36291
1984,417.79874
1985,465.71702
1986,421.12115
1987,376.05421
1988,439.59174
1989,488.28293
1990,498.24097
1991,497.22314000000006
1992,516.32078
1993,536.16755
1994,562.8154599999998
1995,486.35432
1996,502.2863
1997,534.68062
1998,523.91548
1999,544.79715
2000,546.0526
2001,539.48662
2002,516.1692400000002
2003,521.18199
2004,555.35
2005,610.39914
2006,626.86107
2007,705.50676
2008,808.01486
2009,754.41838
