Year,Data
1970,96.82814
1971,114.38768
1972,124.66431
1973,131.32118
1974,136.13516
1975,148.38474
1976,209.09211
1977,259.45212999999995
1978,308.97084
1979,383.21071
1980,434.01624
1981,502.5093
1982,525.90328
1983,536.45516
1984,573.4372900000002
1985,580.56396
1986,379.65395
1987,426.62958
1988,487.91495
1989,510.33258
1990,464.04493
1991,468.78335
1992,493.04608
1993,487.12731
1994,528.89278
1995,504.22742
1996,525.94057
1997,584.44012
1998,694.5629
1999,736.59385
2000,1114.57492
2001,1371.79828
2002,1285.8705699999996
2003,1642.79965
2004,2305.20943
2005,2750.19753
2006,2795.64742
2007,3217.49573
2008,3773.86002
2009,2274.13729
