Year,Data
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,7.83196
1986,68.3701
1987,114.76663
1988,188.10495
1989,70.82651
1990,156.66216
1991,184.43862
1992,146.71223
1993,133.71509
1994,138.09955
1995,138.66984
1996,148.37966
1997,151.37831
1998,149.06416000000004
1999,143.61406000000005
2000,139.71331
2001,138.29611
2002,135.90352
2003,124.91542
2004,130.57777
2005,147.90604
2006,156.76763
2007,158.94598
2008,170.1529
2009,190.00053
