Year,Data
1970,417.16121
1971,453.17928
1972,516.58303
1973,665.23456
1974,952.112
1975,1056.22024
1976,1126.5936800000004
1977,1342.86416
1978,1464.15345
1979,1876.15794
1980,2447.34854
1981,2696.451
1982,2551.64059
1983,2348.71596
1984,2499.93594
1985,2589.33441
1986,2181.7145800000008
1987,2383.63558
1988,2283.24264
1989,2576.98569
1990,2874.92493
1991,2733.57909
1992,2934.46459
1993,3251.009
1994,3298.73623
1995,3482.4816100000007
1996,4088.30119
1997,4035.29213
1998,3688.93463
1999,4233.33234
2000,5534.9920299999985
2001,5356.7135
2002,5088.95161
2003,6374.06348
2004,7928.311809999998
2005,10269.53657
2006,11624.30824
2007,12202.43245
2008,14212.39274
2009,9278.83958
