Year,Data
1970,0.21136
1971,0.25097
1972,0.33373
1973,0.32601
1974,0.17406
1975,0.22792
1976,0.27372
1977,0.54135
1978,0.5328
1979,0.91357
1980,1.00804
1981,1.09022
1982,1.26963
1983,1.31452
1984,1.28608
1985,1.36169
1986,1.42325
1987,1.3293700000000002
1988,1.42244
1989,1.38267
1990,1.45084
1991,1.43184
1992,1.3964299999999998
1993,1.37536
1994,1.39868
1995,1.4184
1996,1.46508
1997,1.44558
1998,1.35459
1999,1.3509799999999998
2000,1.26164
2001,1.2723
2002,1.26986
2003,1.2819999999999998
2004,1.30544
2005,1.42469
2006,1.45112
2007,1.60882
2008,1.7614299999999998
2009,1.82553
