Year,Data
1970,5.3244
1971,5.41099
1972,5.79022
1973,6.31862
1974,7.62665
1975,9.6518
1976,10.328
1977,11.83254
1978,12.68814
1979,14.14911
1980,15.67811
1981,16.88133
1982,19.83921
1983,20.15861
1984,20.55666
1985,21.14944
1986,21.871920000000006
1987,21.31357
1988,21.73489
1989,22.09514
1990,22.81347
1991,23.09213
1992,23.93648
1993,24.05341
1994,23.22789
1995,22.32023
1996,22.11201
1997,21.63151
1998,21.47574
1999,21.19633
2000,21.24508
2001,21.29894
2002,21.13391
2003,21.5218
2004,21.82902
2005,22.82642
2006,24.14242
2007,25.01884
2008,26.7132
2009,28.00765
