Year,Data
1970,0.54105
1971,0.57719
1972,0.5824600000000001
1973,0.65317
1974,0.75068
1975,1.01352
1976,1.27447
1977,1.61416
1978,1.81529
1979,2.4043400000000004
1980,2.86166
1981,3.1787
1982,4.4343900000000005
1983,4.99375
1984,5.09727
1985,4.92347
1986,4.1236
1987,4.09725
1988,4.45087
1989,3.92316
1990,4.52257
1991,4.58089
1992,4.5652300000000015
1993,4.85765
1994,4.63727
1995,4.63229
1996,4.87987
1997,4.9313400000000005
1998,4.92151
1999,4.94796
2000,5.95279
2001,6.17686
2002,5.47989
2003,6.38679
2004,6.77772
2005,8.83425
2006,8.122110000000001
2007,8.443769999999999
2008,9.74765
2009,6.38089
