Year,Data
1970,1.04893
1971,1.11575
1972,1.1612
1973,1.20756
1974,1.41609
1975,1.4442
1976,1.49483
1977,1.58348
1978,1.6130000000000002
1979,1.92662
1980,2.17362
1981,2.61411
1982,2.61192
1983,2.5216
1984,2.59789
1985,2.55457
1986,2.10498
1987,1.86857
1988,1.88252
1989,1.68268
1990,3.25869
1991,3.12962
1992,2.92102
1993,3.08888
1994,2.90597
1995,2.62027
1996,3.09602
1997,3.16564
1998,3.70396
1999,3.77925
2000,5.67762
2001,4.80501
2002,4.43486
2003,5.34865
2004,6.02353
2005,7.844489999999999
2006,8.966239999999997
2007,10.46188
2008,10.68754
2009,7.83257
