Year,Data
1970,28.245040000000003
1971,23.8354
1972,24.51267
1973,40.61833
1974,78.19724000000002
1975,74.61808
1976,95.21425
1977,110.41702
1978,107.67605
1979,116.02206
1980,126.62621
1981,169.28308
1982,152.06545
1983,75.75516999999998
1984,89.29005
1985,102.41068
1986,96.06179
1987,94.03152
1988,98.66447
1989,124.88383
1990,159.18257
1991,163.10686
1992,153.25113000000005
1993,142.39771000000005
1994,143.61853
1995,140.21542
1996,133.3009
1997,140.91808999999995
1998,110.5504
1999,113.41488
2000,109.91204
2001,98.82525
2002,120.00857
2003,118.7049
2004,125.19996
2005,128.83766
2006,144.70561
2007,164.25218999999996
2008,168.55809
2009,139.51381999999998
