Year,Data
1970,1126.65067
1971,1264.81015
1972,1362.50869
1973,1399.67356
1974,1572.63724
1975,2148.15761
1976,2552.69036
1977,3164.10759
1978,2984.0035
1979,4276.455660000001
1980,6063.18626
1981,6969.27881
1982,7886.8901
1983,8039.141229999998
1984,8930.98741
1985,9251.77184
1986,6011.59764
1987,7109.84822
1988,7145.27942
1989,7825.377179999998
1990,8366.412859999999
1991,8774.07093
1992,8456.77303
1993,8264.631640000001
1994,9074.88938
1995,8337.67825
1996,8059.47931
1997,9467.91373
1998,9907.84113
1999,9451.98895
2000,15046.07486
2001,20823.32456
2002,11081.23631
2003,15314.99864
2004,17658.9436
2005,20771.68485
2006,19608.71693
2007,19822.23803
2008,23114.54869
2009,14165.67542
