Year,Data
1970,6.69667
1971,7.43643
1972,6.40027
1973,5.08862
1974,4.9557
1975,14.36122
1976,15.01495
1977,24.38509
1978,24.28457
1979,35.51242
1980,26.0656
1981,30.17383
1982,31.64746
1983,65.32106
1984,170.41418000000004
1985,200.40486
1986,268.09639
1987,312.62736
1988,293.07792
1989,291.99034
1990,249.59636
1991,221.53528
1992,203.69722
1993,145.29493
1994,164.08781000000005
1995,135.11967
1996,157.32898
1997,145.16963
1998,164.8273
1999,146.16568
2000,164.86763
2001,150.29592
2002,175.50105
2003,172.04516
2004,148.84165
2005,167.19472
2006,148.53321
2007,176.82268
2008,161.78986
2009,175.99174
