Year,Data
1970,4190.82341
1971,4598.91759
1972,4784.0548899999985
1973,5777.886420000002
1974,8617.50358
1975,9890.80963
1976,10945.74989
1977,12632.34943
1978,13495.35814
1979,18206.71141
1980,24242.24122
1981,27163.87407
1982,24152.08833
1983,20966.78248
1984,22011.78499
1985,21304.17722
1986,16640.83206
1987,17996.32586
1988,18718.13753
1989,20765.83527
1990,23489.902830000006
1991,20868.35306
1992,22615.34384
1993,21981.8471
1994,22345.18701
1995,22921.39703
1996,25338.675
1997,25834.1088
1998,22678.54172
1999,27289.73058
2000,35356.73957
2001,33899.97882
2002,32788.0476
2003,40893.39336
2004,48700.35341
2005,59314.4724
2006,67841.9281
2007,73260.05829
2008,85714.51783
2009,59782.62586
