Year,Data
1970,0.45695
1971,0.46723
1972,0.51658
1973,0.60664
1974,1.28889
1975,1.32289
1976,1.429
1977,1.47009
1978,1.58599
1979,1.69215
1980,1.91366
1981,2.15921
1982,2.19068
1983,2.36574
1984,2.39752
1985,2.2625
1986,2.25928
1987,2.09185
1988,1.94129
1989,1.88003
1990,1.89143
1991,1.82203
1992,1.6746
1993,1.6818099999999998
1994,1.6973
1995,1.66283
1996,1.65953
1997,1.70498
1998,1.67104
1999,1.63076
2000,1.56991
2001,1.45675
2002,1.71416
2003,1.70874
2004,1.81688
2005,1.9109
2006,2.15925
2007,2.47016
2008,2.6734
2009,2.66232
