Year,Data
1970,1.79632
1971,1.83933
1972,1.87057
1973,2.02131
1974,3.20819
1975,3.55033
1976,3.60716
1977,3.72405
1978,3.934
1979,5.21232
1980,7.41806
1981,8.82433
1982,8.8461
1983,7.79415
1984,7.498639999999999
1985,7.45166
1986,5.70728
1987,5.89468
1988,5.83191
1989,6.31966
1990,7.24018
1991,6.90494
1992,7.557930000000002
1993,7.457789999999998
1994,7.25113
1995,7.35858
1996,8.064860000000001
1997,8.40829
1998,7.24458
1999,8.43383
2000,10.4208
2001,10.04276
2002,9.3395
2003,11.44433
2004,13.80584
2005,16.50712
2006,18.75398
2007,20.0345
2008,24.59899
2009,17.71125
