Year,Data
1970,106.60418
1971,117.51304
1972,133.12481
1973,146.32849
1974,166.91572
1975,179.53432
1976,212.4368
1977,257.14976
1978,324.85275
1979,410.54656
1980,460.17441
1981,526.79429
1982,605.2377799999998
1983,608.30014
1984,746.49575
1985,836.01411
1986,874.2174
1987,893.34175
1988,922.9691
1989,958.19383
1990,962.67914
1991,987.05375
1992,1009.67733
1993,1057.70231
1994,1100.30031
1995,1084.92278
1996,1141.90335
1997,1172.47744
1998,1213.93632
1999,1169.54574
2000,1218.71763
2001,1316.66633
2002,1272.72123
2003,1331.39392
2004,1383.03579
2005,1519.59145
2006,1545.41002
2007,1618.68547
2008,1796.43548
2009,1710.14175
