Year,Data
1970,0.86455
1971,0.97256
1972,1.0762
1973,1.06899
1974,1.1807299999999998
1975,1.46
1976,1.63573
1977,2.13439
1978,2.5278
1979,3.5421
1980,2.57965
1981,3.75818
1982,3.74687
1983,3.96346
1984,4.16021
1985,4.1301
1986,4.0086
1987,2.80804
1988,2.96445
1989,2.13829
1990,7.21663
1991,7.25865
1992,6.95948
1993,6.60412
1994,6.14407
1995,6.08047
1996,7.10135
1997,8.11105
1998,6.17925
1999,6.66811
2000,10.64729
2001,5.9019
2002,5.56824
2003,6.5413
2004,7.557
2005,40.61156
2006,43.08138
2007,52.0464
2008,67.96495
2009,48.75948
