MSN,Year,Data
CLTCV,1970,14.32017
CLTCV,1971,18.33344
CLTCV,1972,19.0107
CLTCV,1973,21.15457
CLTCV,1974,27.30731
CLTCV,1975,29.95296
CLTCV,1976,35.75676
CLTCV,1977,45.56848
CLTCV,1978,62.79299
CLTCV,1979,74.88682
CLTCV,1980,114.04176
CLTCV,1981,139.29013
CLTCV,1982,179.5587
CLTCV,1983,222.55127
CLTCV,1984,237.12394
CLTCV,1985,293.6667
CLTCV,1986,274.22938
CLTCV,1987,315.15501
CLTCV,1988,312.81426
CLTCV,1989,346.39375
CLTCV,1990,363.33095
CLTCV,1991,322.37643
CLTCV,1992,353.72449
CLTCV,1993,369.66743
CLTCV,1994,392.13255
CLTCV,1995,389.5945200000001
CLTCV,1996,398.13632
CLTCV,1997,385.15836
CLTCV,1998,378.96121
CLTCV,1999,395.98687
CLTCV,2000,420.64193
CLTCV,2001,437.31445
CLTCV,2002,433.81575
CLTCV,2003,435.2152
CLTCV,2004,456.7165700000001
CLTCV,2005,479.76074000000006
CLTCV,2006,494.41717
CLTCV,2007,529.47835
CLTCV,2008,567.27456
CLTCV,2009,582.1673400000002
ESTCV,1970,106.60418
ESTCV,1971,117.51304
ESTCV,1972,133.12481
ESTCV,1973,146.32849
ESTCV,1974,166.91572
ESTCV,1975,179.53432
ESTCV,1976,212.4368
ESTCV,1977,257.14976
ESTCV,1978,324.85275
ESTCV,1979,410.54656
ESTCV,1980,460.17441
ESTCV,1981,526.79429
ESTCV,1982,605.2377799999998
ESTCV,1983,608.30014
ESTCV,1984,746.49575
ESTCV,1985,836.01411
ESTCV,1986,874.2174
ESTCV,1987,893.34175
ESTCV,1988,922.9691
ESTCV,1989,958.19383
ESTCV,1990,962.67914
ESTCV,1991,987.05375
ESTCV,1992,1009.67733
ESTCV,1993,1057.70231
ESTCV,1994,1100.30031
ESTCV,1995,1084.92278
ESTCV,1996,1141.90335
ESTCV,1997,1172.47744
ESTCV,1998,1213.93632
ESTCV,1999,1169.54574
ESTCV,2000,1218.71763
ESTCV,2001,1316.66633
ESTCV,2002,1272.72123
ESTCV,2003,1331.39392
ESTCV,2004,1383.03579
ESTCV,2005,1519.59145
ESTCV,2006,1545.41002
ESTCV,2007,1618.68547
ESTCV,2008,1796.43548
ESTCV,2009,1710.14175
NGTCV,1970,80.7144
NGTCV,1971,90.40135
NGTCV,1972,97.48459
NGTCV,1973,81.7502
NGTCV,1974,116.43951
NGTCV,1975,134.81771
NGTCV,1976,194.36744
NGTCV,1977,252.98374
NGTCV,1978,282.80565
NGTCV,1979,291.83522
NGTCV,1980,394.0845
NGTCV,1981,408.4292
NGTCV,1982,414.40071
NGTCV,1983,410.69191
NGTCV,1984,434.3161
NGTCV,1985,350.81401
NGTCV,1986,303.84255
NGTCV,1987,280.76435
NGTCV,1988,320.82484
NGTCV,1989,355.29571
NGTCV,1990,348.8750100000001
NGTCV,1991,352.82293
NGTCV,1992,341.32598
NGTCV,1993,387.76187
NGTCV,1994,378.5697
NGTCV,1995,318.91729
NGTCV,1996,348.48343
NGTCV,1997,489.14632
NGTCV,1998,436.16742
NGTCV,1999,417.78941
NGTCV,2000,601.47475
NGTCV,2001,708.97458
NGTCV,2002,484.173
NGTCV,2003,694.0745099999998
NGTCV,2004,783.1365400000002
NGTCV,2005,1024.11794
NGTCV,2006,1044.68157
NGTCV,2007,1082.32631
NGTCV,2008,1301.79895
NGTCV,2009,793.0267
NUETV,1970,0.0
NUETV,1971,0.0
NUETV,1972,0.0
NUETV,1973,0.0
NUETV,1974,0.0
NUETV,1975,0.0
NUETV,1976,0.0
NUETV,1977,0.0
NUETV,1978,0.0
NUETV,1979,0.0
NUETV,1980,0.0
NUETV,1981,0.0
NUETV,1982,0.0
NUETV,1983,0.0
NUETV,1984,0.0
NUETV,1985,0.0
NUETV,1986,0.0
NUETV,1987,0.0
NUETV,1988,0.0
NUETV,1989,0.0
NUETV,1990,0.0
NUETV,1991,0.0
NUETV,1992,0.0
NUETV,1993,0.0
NUETV,1994,0.0
NUETV,1995,0.0
NUETV,1996,0.0
NUETV,1997,0.0
NUETV,1998,0.0
NUETV,1999,0.0
NUETV,2000,0.0
NUETV,2001,0.0
NUETV,2002,0.0
NUETV,2003,0.0
NUETV,2004,0.0
NUETV,2005,0.0
NUETV,2006,0.0
NUETV,2007,0.0
NUETV,2008,0.0
NUETV,2009,0.0
PATCV,1970,291.7387700000001
PATCV,1971,309.04795
PATCV,1972,334.93308
PATCV,1973,400.17281
PATCV,1974,569.30958
PATCV,1975,651.8360700000002
PATCV,1976,694.97005
PATCV,1977,789.7993799999998
PATCV,1978,852.2651400000002
PATCV,1979,1101.42139
PATCV,1980,1503.28639
PATCV,1981,1902.75227
PATCV,1982,1605.64906
PATCV,1983,1527.28097
PATCV,1984,1515.45795
PATCV,1985,1443.96447
PATCV,1986,1134.72959
PATCV,1987,1240.68094
PATCV,1988,1230.41006
PATCV,1989,1364.15982
PATCV,1990,1663.1425800000004
PATCV,1991,1675.08069
PATCV,1992,1663.97723
PATCV,1993,1771.6036600000002
PATCV,1994,1681.99691
PATCV,1995,1541.1418199999996
PATCV,1996,1814.28092
PATCV,1997,1911.11476
PATCV,1998,1719.63962
PATCV,1999,1927.76738
PATCV,2000,2444.63425
PATCV,2001,2401.38205
PATCV,2002,2264.54676
PATCV,2003,2612.58628
PATCV,2004,3238.4955600000008
PATCV,2005,4192.44555
PATCV,2006,4915.69468
PATCV,2007,5486.89956
PATCV,2008,6270.791
PATCV,2009,4193.121
