Year,Data
1970,5.62492
1971,5.66798
1972,5.93578
1973,6.12006
1974,6.98265
1975,7.9906
1976,8.7336
1977,10.04054
1978,11.96843
1979,14.17081
1980,15.5165
1981,17.982570000000006
1982,20.59546
1983,20.7003
1984,20.32227
1985,21.1962
1986,22.13886
1987,21.82549
1988,21.75524
1989,21.5458
1990,20.97537
1991,21.09317
1992,21.0344
1993,21.39163
1994,21.09801
1995,20.12435
1996,19.98786
1997,20.11102
1998,20.041120000000006
1999,19.432
2000,19.39512
2001,21.08727
2002,19.86065
2003,20.66721
2004,20.95295
2005,22.14795
2006,21.74736
2007,21.96177
2008,24.65114
2009,23.96256
