Year,Data
1970,0.39431
1971,0.43533
1972,0.45085
1973,0.44953
1974,0.6189
1975,0.75446
1976,0.93555
1977,1.53732
1978,1.80231
1979,2.18949
1980,2.66461
1981,3.05639
1982,3.83752
1983,4.36153
1984,4.46504
1985,4.59503
1986,4.24271
1987,3.68277
1988,3.4434400000000003
1989,3.60769
1990,3.83909
1991,3.62193
1992,3.67144
1993,3.90867
1994,3.86308
1995,3.23493
1996,3.23478
1997,4.03651
1998,3.66513
1999,3.5349
2000,4.8990300000000016
2001,5.5860400000000014
2002,4.56765
2003,6.45575
2004,7.553210000000001
2005,9.12753
2006,8.92657
2007,8.39185
2008,9.5567
2009,5.95016
