Year,Data
1970,1.92796
1971,2.02893
1972,1.99247
1973,2.15535
1974,3.10284
1975,3.4373
1976,3.612530000000001
1977,3.88625
1978,4.14602
1979,5.39532
1980,7.850119999999999
1981,9.20996
1982,8.87575
1983,7.67807
1984,7.7468
1985,7.9329100000000015
1986,6.22486
1987,6.52252
1988,6.45918
1989,7.15325
1990,8.19909
1991,7.622789999999998
1992,7.4679
1993,7.86874
1994,7.87461
1995,7.7763300000000015
1996,8.823319999999997
1997,8.753910000000001
1998,7.393489999999999
1999,7.9812699999999985
2000,10.40834
2001,10.47199
2002,9.64041
2003,11.02363
2004,13.16981
2005,17.13885
2006,19.3446
2007,20.5721
2008,25.04792
2009,17.64435
