Year,Data
1970,1.04308
1971,1.11961
1972,1.17152
1973,1.22915
1974,1.43064
1975,1.45876
1976,1.51085
1977,1.60935
1978,1.64062
1979,2.06534
1980,2.45739
1981,3.01812
1982,3.0009900000000003
1983,2.89098
1984,2.94265
1985,2.88046
1986,2.1943900000000003
1987,1.89867
1988,1.9146
1989,2.39496
1990,4.14647
1991,3.99677
1992,3.70178
1993,3.65003
1994,3.52176
1995,3.45807
1996,3.92364
1997,4.08143
1998,3.53025
1999,3.63103
2000,5.49953
2001,4.73804
2002,4.36374
2003,5.92603
2004,6.71634
2005,9.04681
2006,10.08388
2007,10.87172
2008,13.1894
2009,9.83465
