Year,Data
1970,11.86221
1971,10.73431
1972,19.63733
1973,53.34815
1974,89.33609
1975,120.19087
1976,168.42003
1977,229.70522000000003
1978,365.71929
1979,668.25202
1980,892.5359300000001
1981,1261.60445
1982,1495.5006
1983,1711.80598
1984,1807.28121
1985,1833.17946
1986,1798.56117
1987,1850.79963
1988,1852.30738
1989,1924.39985
1990,1918.27893
1991,1982.22987
1992,1960.69349
1993,2033.37969
1994,1868.45415
1995,1819.45234
1996,1919.61289
1997,1920.64645
1998,1859.6418
1999,1853.46518
2000,1902.40362
2001,1992.86733
2002,1978.19537
2003,2024.43185
2004,2147.3042800000007
2005,2190.16775
2006,2424.06198
2007,2662.7217
2008,3058.90695
2009,2836.34499
