Year,Data
1970,1421.04007
1971,1551.24023
1972,1782.91112
1973,1961.36185
1974,2410.90105
1975,2894.96146
1976,3496.79098
1977,4510.3712700000015
1978,5270.39252
1979,6019.26348
1980,7434.48285
1981,9476.00584
1982,11268.17763
1983,12051.836
1984,12669.58908
1985,13119.72296
1986,11920.55961
1987,11645.31592
1988,12325.6916
1989,12782.01693
1990,13430.71323
1991,14271.189019999998
1992,14457.41717
1993,15644.22064
1994,16149.875080000002
1995,15675.13208
1996,16871.921140000002
1997,17385.55157
1998,18211.34939
1999,17975.720240000002
2000,20327.79006
2001,23064.4778
2002,20869.45758
2003,23786.73118
2004,24987.90582
2005,29987.481310000006
2006,34718.86782
2007,33964.16267
2008,37224.67254
2009,33311.28487
