Year,Data
1970,3336.70571
1971,3639.73403
1972,4011.22292
1973,4695.191470000002
1974,7593.7694
1975,8203.99403
1976,9486.88357
1977,11347.22675
1978,11865.01553
1979,17929.79234
1980,23784.94161
1981,28154.46306
1982,25842.20765
1983,24591.53068
1984,25240.19169
1985,23650.07134
1986,17839.89009
1987,18976.85002
1988,19071.24975
1989,19704.74778
1990,24572.96199
1991,23913.68514
1992,23684.57229
1993,23181.50115
1994,25590.04113
1995,25962.40319
1996,31907.83812
1997,31863.366210000004
1998,26575.94528
1999,29774.22787
2000,41871.43721
2001,38346.18092
2002,37047.2154
2003,44719.16776
2004,57166.69366
2005,71756.12422
2006,90011.79269
2007,98965.72585
2008,117902.0721
2009,74154.8829
