Year,Data
1970,4.51714
1971,4.5653
1972,4.6994099999999985
1973,4.8781
1974,5.83895
1975,6.81027
1976,7.81619
1977,8.98392
1978,9.78316
1979,10.88965
1980,12.69162
1981,15.62204
1982,18.34151
1983,19.05815
1984,18.42263
1985,18.58205
1986,16.911170000000002
1987,16.317829999999994
1988,16.582539999999998
1989,16.79384
1990,17.08661
1991,17.91116
1992,18.2089
1993,18.929
1994,19.07195
1995,18.12486
1996,18.21088
1997,18.22765
1998,17.92744
1999,17.851670000000006
2000,19.14731
2001,21.79927
2002,19.56254
2003,22.15671
2004,23.45867
2005,26.94397
2006,30.52087
2007,29.85241
2008,32.41873
2009,29.20894
