Year,Data
1970,1.57982
1971,1.65437
1972,1.62527
1973,1.73102
1974,2.78367
1975,3.08005
1976,3.27082
1977,3.5531900000000003
1978,3.5044800000000005
1979,4.8464800000000015
1980,6.74872
1981,7.85842
1982,7.52187
1983,7.12627
1984,7.05543
1985,6.576689999999998
1986,4.93627
1987,5.23206
1988,4.99528
1989,5.11491
1990,6.341080000000002
1991,6.0787
1992,5.84574
1993,5.78067
1994,6.11235
1995,6.17898
1996,7.01437
1997,6.52787
1998,5.2808
1999,6.04411
2000,8.58414
2001,7.956460000000001
2002,7.40753
2003,8.94576
2004,11.05829
2005,14.16284
2006,16.42841
2007,18.07959
2008,23.02473
2009,15.07646
