Year,Data
1970,1.43109
1971,1.44204
1972,1.47496
1973,1.50529
1974,1.59288
1975,1.60173
1976,1.63427
1977,1.68652
1978,1.71488
1979,1.9053
1980,2.40092
1981,2.68586
1982,3.09327
1983,2.59422
1984,2.9220900000000003
1985,2.65208
1986,1.97456
1987,2.12328
1988,2.26302
1989,1.59987
1990,1.39028
1991,1.4926700000000002
1992,1.41924
1993,1.26039
1994,1.25706
1995,1.32435
1996,1.14927
1997,1.08541
1998,1.32667
1999,1.48561
2000,1.6481400000000002
2001,2.17241
2002,2.21401
2003,1.90433
2004,2.1779
2005,3.30375
2006,3.31986
2007,3.33449
2008,3.75641
2009,3.62018
