MSN,Year,Data
CLTCV,1970,11.86221
CLTCV,1971,10.73431
CLTCV,1972,19.63733
CLTCV,1973,53.34815
CLTCV,1974,89.33609
CLTCV,1975,120.19087
CLTCV,1976,168.42003
CLTCV,1977,229.70522000000003
CLTCV,1978,365.71929
CLTCV,1979,668.25202
CLTCV,1980,892.5359300000001
CLTCV,1981,1261.60445
CLTCV,1982,1495.5006
CLTCV,1983,1711.80598
CLTCV,1984,1807.28121
CLTCV,1985,1833.17946
CLTCV,1986,1798.56117
CLTCV,1987,1850.79963
CLTCV,1988,1852.30738
CLTCV,1989,1924.39985
CLTCV,1990,1918.27893
CLTCV,1991,1982.22987
CLTCV,1992,1960.69349
CLTCV,1993,2033.37969
CLTCV,1994,1868.45415
CLTCV,1995,1819.45234
CLTCV,1996,1919.61289
CLTCV,1997,1920.64645
CLTCV,1998,1859.6418
CLTCV,1999,1853.46518
CLTCV,2000,1902.40362
CLTCV,2001,1992.86733
CLTCV,2002,1978.19537
CLTCV,2003,2024.43185
CLTCV,2004,2147.3042800000007
CLTCV,2005,2190.16775
CLTCV,2006,2424.06198
CLTCV,2007,2662.7217
CLTCV,2008,3058.90695
CLTCV,2009,2836.34499
ESTCV,1970,1421.04007
ESTCV,1971,1551.24023
ESTCV,1972,1782.91112
ESTCV,1973,1961.36185
ESTCV,1974,2410.90105
ESTCV,1975,2894.96146
ESTCV,1976,3496.79098
ESTCV,1977,4510.3712700000015
ESTCV,1978,5270.39252
ESTCV,1979,6019.26348
ESTCV,1980,7434.48285
ESTCV,1981,9476.00584
ESTCV,1982,11268.17763
ESTCV,1983,12051.836
ESTCV,1984,12669.58908
ESTCV,1985,13119.72296
ESTCV,1986,11920.55961
ESTCV,1987,11645.31592
ESTCV,1988,12325.6916
ESTCV,1989,12782.01693
ESTCV,1990,13430.71323
ESTCV,1991,14271.189019999998
ESTCV,1992,14457.41717
ESTCV,1993,15644.22064
ESTCV,1994,16149.875080000002
ESTCV,1995,15675.13208
ESTCV,1996,16871.921140000002
ESTCV,1997,17385.55157
ESTCV,1998,18211.34939
ESTCV,1999,17975.720240000002
ESTCV,2000,20327.79006
ESTCV,2001,23064.4778
ESTCV,2002,20869.45758
ESTCV,2003,23786.73118
ESTCV,2004,24987.90582
ESTCV,2005,29987.481310000006
ESTCV,2006,34718.86782
ESTCV,2007,33964.16267
ESTCV,2008,37224.67254
ESTCV,2009,33311.28487
NGTCV,1970,804.91993
NGTCV,1971,981.17787
NGTCV,1972,1016.18146
NGTCV,1973,1136.16803
NGTCV,1974,1639.40941
NGTCV,1975,2361.28984
NGTCV,1976,3282.16357
NGTCV,1977,3996.92005
NGTCV,1978,5231.59188
NGTCV,1979,5573.9586100000015
NGTCV,1980,6837.95191
NGTCV,1981,8869.88992
NGTCV,1982,9736.53003
NGTCV,1983,9522.58626
NGTCV,1984,10687.87059
NGTCV,1985,9815.82995
NGTCV,1986,7021.233690000001
NGTCV,1987,6513.90769
NGTCV,1988,7247.166999999998
NGTCV,1989,8053.06341
NGTCV,1990,7586.68348
NGTCV,1991,7214.31408
NGTCV,1992,7598.365240000001
NGTCV,1993,9020.50308
NGTCV,1994,7979.33344
NGTCV,1995,7409.193990000002
NGTCV,1996,9815.63653
NGTCV,1997,10773.83869
NGTCV,1998,9128.94786
NGTCV,1999,9475.21743
NGTCV,2000,16609.70654
NGTCV,2001,17223.38818
NGTCV,2002,13852.883569999998
NGTCV,2003,20157.59893
NGTCV,2004,21200.71464
NGTCV,2005,24494.56659
NGTCV,2006,20532.34084
NGTCV,2007,21465.35
NGTCV,2008,27441.51372
NGTCV,2009,13058.58913
NUETV,1970,0.0
NUETV,1971,0.0
NUETV,1972,0.0
NUETV,1973,0.0
NUETV,1974,0.0
NUETV,1975,0.0
NUETV,1976,0.0
NUETV,1977,0.0
NUETV,1978,0.0
NUETV,1979,0.0
NUETV,1980,0.0
NUETV,1981,0.0
NUETV,1982,0.0
NUETV,1983,0.0
NUETV,1984,0.0
NUETV,1985,0.0
NUETV,1986,0.0
NUETV,1987,0.0
NUETV,1988,14.92286
NUETV,1989,44.01727
NUETV,1990,93.99076
NUETV,1991,100.7955
NUETV,1992,133.27829
NUETV,1993,90.18327
NUETV,1994,180.26561
NUETV,1995,211.36686
NUETV,1996,211.9151
NUETV,1997,213.10029
NUETV,1998,212.61444
NUETV,1999,191.37518
NUETV,2000,175.38177
NUETV,2001,163.32752
NUETV,2002,131.07689
NUETV,2003,128.74605
NUETV,2004,151.96014
NUETV,2005,152.55148
NUETV,2006,162.68061
NUETV,2007,199.7331
NUETV,2008,202.41009
NUETV,2009,239.40683
PATCV,1970,3336.70571
PATCV,1971,3639.73403
PATCV,1972,4011.22292
PATCV,1973,4695.191470000002
PATCV,1974,7593.7694
PATCV,1975,8203.99403
PATCV,1976,9486.88357
PATCV,1977,11347.22675
PATCV,1978,11865.01553
PATCV,1979,17929.79234
PATCV,1980,23784.94161
PATCV,1981,28154.46306
PATCV,1982,25842.20765
PATCV,1983,24591.53068
PATCV,1984,25240.19169
PATCV,1985,23650.07134
PATCV,1986,17839.89009
PATCV,1987,18976.85002
PATCV,1988,19071.24975
PATCV,1989,19704.74778
PATCV,1990,24572.96199
PATCV,1991,23913.68514
PATCV,1992,23684.57229
PATCV,1993,23181.50115
PATCV,1994,25590.04113
PATCV,1995,25962.40319
PATCV,1996,31907.83812
PATCV,1997,31863.366210000004
PATCV,1998,26575.94528
PATCV,1999,29774.22787
PATCV,2000,41871.43721
PATCV,2001,38346.18092
PATCV,2002,37047.2154
PATCV,2003,44719.16776
PATCV,2004,57166.69366
PATCV,2005,71756.12422
PATCV,2006,90011.79269
PATCV,2007,98965.72585
PATCV,2008,117902.0721
PATCV,2009,74154.8829
WWTCV,1970,17.14526
WWTCV,1971,16.961
WWTCV,1972,19.55738
WWTCV,1973,20.37253
WWTCV,1974,21.41195
WWTCV,1975,20.52859
WWTCV,1976,24.09149
WWTCV,1977,26.811090000000004
WWTCV,1978,29.09597
WWTCV,1979,32.70231
WWTCV,1980,32.13655
WWTCV,1981,37.61661
WWTCV,1982,57.20321
WWTCV,1983,39.74216
WWTCV,1984,58.46083
WWTCV,1985,59.04628
WWTCV,1986,51.4484
WWTCV,1987,58.79444
WWTCV,1988,60.22707
WWTCV,1989,106.30659
WWTCV,1990,72.99036
WWTCV,1991,79.70071
WWTCV,1992,84.5485
WWTCV,1993,75.06904
WWTCV,1994,75.64994
WWTCV,1995,96.75562
WWTCV,1996,86.37018
WWTCV,1997,88.55235
WWTCV,1998,97.24454
WWTCV,1999,86.12987
WWTCV,2000,99.97686
WWTCV,2001,108.84392
WWTCV,2002,141.82578999999996
WWTCV,2003,117.00091
WWTCV,2004,107.10278999999998
WWTCV,2005,192.59044
WWTCV,2006,192.20014
WWTCV,2007,210.26855
WWTCV,2008,289.45936
WWTCV,2009,157.8882
