MSN,Year,Data
TEACD,1970,2.19804
TEACD,1971,2.2789200000000003
TEACD,1972,2.25975
TEACD,1973,2.45673
TEACD,1974,3.4469199999999995
TEACD,1975,3.92732
TEACD,1976,4.15218
TEACD,1977,4.4352
TEACD,1978,4.71465
TEACD,1979,6.16496
TEACD,1980,8.79232
TEACD,1981,9.96173
TEACD,1982,9.54303
TEACD,1983,8.34559
TEACD,1984,8.307089999999999
TEACD,1985,8.40408
TEACD,1986,6.72893
TEACD,1987,7.230460000000001
TEACD,1988,6.789060000000001
TEACD,1989,7.644360000000002
TEACD,1990,8.68939
TEACD,1991,7.98172
TEACD,1992,8.458639999999999
TEACD,1993,8.85219
TEACD,1994,8.81757
TEACD,1995,8.8814
TEACD,1996,9.77202
TEACD,1997,9.69542
TEACD,1998,8.21214
TEACD,1999,8.90824
TEACD,2000,11.39465
TEACD,2001,10.72597
TEACD,2002,9.97448
TEACD,2003,12.30348
TEACD,2004,14.73559
TEACD,2005,18.1403
TEACD,2006,20.00947
TEACD,2007,21.20025
TEACD,2008,25.26525
TEACD,2009,17.60474
TECCD,1970,2.5001
TECCD,1971,2.57784
TECCD,1972,2.86856
TECCD,1973,2.90144
TECCD,1974,3.48175
TECCD,1975,4.67483
TECCD,1976,5.0263
TECCD,1977,6.03359
TECCD,1978,7.05449
TECCD,1979,8.77939
TECCD,1980,9.97526
TECCD,1981,11.03261
TECCD,1982,12.93375
TECCD,1983,13.817279999999998
TECCD,1984,14.393070000000002
TECCD,1985,15.22746
TECCD,1986,15.6626
TECCD,1987,14.37391
TECCD,1988,15.08405
TECCD,1989,15.38792
TECCD,1990,16.094479999999994
TECCD,1991,16.6057
TECCD,1992,17.35759
TECCD,1993,17.51814
TECCD,1994,16.895
TECCD,1995,16.62334
TECCD,1996,16.6308
TECCD,1997,16.18955
TECCD,1998,15.754970000000002
TECCD,1999,15.9196
TECCD,2000,16.16254
TECCD,2001,16.83655
TECCD,2002,16.60708
TECCD,2003,16.91291
TECCD,2004,17.62878
TECCD,2005,18.43427
TECCD,2006,20.42193
TECCD,2007,21.2483
TECCD,2008,22.92597
TECCD,2009,23.15201
TEICD,1970,1.00414
TEICD,1971,1.08444
TEICD,1972,1.11536
TEICD,1973,1.29446
TEICD,1974,1.8298
TEICD,1975,2.54159
TEICD,1976,2.66804
TEICD,1977,2.95338
TEICD,1978,3.32524
TEICD,1979,3.704
TEICD,1980,5.27261
TEICD,1981,5.79039
TEICD,1982,6.49073
TEICD,1983,6.6123699999999985
TEICD,1984,6.16477
TEICD,1985,6.56222
TEICD,1986,5.88342
TEICD,1987,7.16208
TEICD,1988,7.15233
TEICD,1989,7.21765
TEICD,1990,7.92386
TEICD,1991,8.02036
TEICD,1992,8.255339999999999
TEICD,1993,8.555489999999999
TEICD,1994,8.04257
TEICD,1995,7.660360000000002
TEICD,1996,8.028360000000001
TEICD,1997,7.65557
TEICD,1998,7.13485
TEICD,1999,7.248639999999999
TEICD,2000,8.34435
TEICD,2001,8.712710000000001
TEICD,2002,8.49289
TEICD,2003,9.22098
TEICD,2004,9.6329
TEICD,2005,11.49819
TEICD,2006,12.44962
TEICD,2007,13.25504
TEICD,2008,16.21069
TEICD,2009,13.388520000000002
TERCD,1970,2.9488
TERCD,1971,2.98135
TERCD,1972,3.29005
TERCD,1973,3.66212
TERCD,1974,4.59048
TERCD,1975,5.26905
TERCD,1976,5.74444
TERCD,1977,6.94128
TERCD,1978,8.233839999999999
TERCD,1979,9.73858
TERCD,1980,11.09813
TERCD,1981,12.66518
TERCD,1982,14.00176
TERCD,1983,14.82248
TERCD,1984,15.80815
TERCD,1985,16.31263
TERCD,1986,17.35664
TERCD,1987,17.22971
TERCD,1988,18.22377
TERCD,1989,18.79996
TERCD,1990,18.36889
TERCD,1991,18.54916
TERCD,1992,19.78659
TERCD,1993,20.15547
TERCD,1994,19.89912
TERCD,1995,19.80175
TERCD,1996,19.95617
TERCD,1997,19.506220000000006
TERCD,1998,19.07686
TERCD,1999,19.33807
TERCD,2000,19.62449
TERCD,2001,19.98416
TERCD,2002,20.31587
TERCD,2003,20.43627
TERCD,2004,20.87839
TERCD,2005,22.339920000000006
TERCD,2006,24.40656
TERCD,2007,25.19936
TERCD,2008,26.70492
TERCD,2009,27.745890000000006
