Year,Data
1970,370.94921
1971,402.51167
1972,447.16823
1973,537.12546
1974,722.63494
1975,833.35127
1976,909.0205
1977,1053.5294
1978,1182.68357
1979,1559.84722
1980,2141.86094
1981,2425.77934
1982,2308.56982
1983,2089.51689
1984,2205.52809
1985,2303.00512
1986,1928.32468
1987,2133.28195
1988,2062.93363
1989,2315.94228
1990,2602.10096
1991,2460.63482
1992,2646.04257
1993,2976.71592
1994,3010.26125
1995,3146.895760000001
1996,3683.82321
1997,3645.76461
1998,3327.88667
1999,3827.27553
2000,5009.37649
2001,4864.06585
2002,4641.26604
2003,5897.91006
2004,7299.963720000002
2005,9370.01597
2006,10621.25103
2007,11160.34047
2008,12556.43827
2009,8333.450209999999
