Year,Data
1970,108.17974
1971,125.63241
1972,152.28708
1973,177.13151000000005
1974,222.18349
1975,297.46248
1976,353.22838
1977,433.25912
1978,474.24299
1979,551.2883
1980,629.9545
1981,685.69393
1982,813.22232
1983,848.8313099999998
1984,974.0588
1985,1110.89124
1986,1156.6108
1987,1197.93395
1988,1274.1767
1989,1347.02216
1990,1437.3178300000004
1991,1449.30008
1992,1533.45204
1993,1562.37349
1994,1595.41578
1995,1603.1481199999996
1996,1679.3463399999996
1997,1720.60808
1998,1806.94036
1999,1863.4762
2000,1982.31233
2001,2053.37615
2002,2074.10129
2003,2101.33741
2004,2230.06575
2005,2410.87522
2006,2763.42463
2007,3035.80745
2008,3345.4229800000007
2009,3247.40753
