Year,Data
1970,115.57426
1971,125.90535
1972,145.91446000000005
1973,181.79819
1974,263.8331
1975,304.98433
1976,344.89673
1977,429.9115
1978,474.96053
1979,600.39165
1980,653.6642099999998
1981,771.84998
1982,733.49534
1983,786.25035
1984,811.9961400000002
1985,791.66555
1986,743.35544
1987,708.22015
1988,771.50913
1989,786.59938
1990,813.06258
1991,832.8644
1992,925.93475
1993,967.5393
1994,986.86521
1995,1037.96138
1996,1129.19015
1997,1118.36981
1998,1038.54022
1999,1049.4603
2000,1150.03976
2001,1104.72751
2002,1047.93343
2003,1096.0247
2004,1350.37848
2005,1629.92683
2006,1780.34884
2007,1867.609
2008,2372.42016
2009,1643.8368
